scenario,topology,tier_index,tier_name,mars_base_latency_s,blackout_duration_s,seed,pre_success,pre_total,during_success,during_total,post_success,post_total,avg_latency_s,first_post_blackout_s,earth_local_success,earth_local_total,mars_local_success,mars_local_total
blackout_only,sparse,0,mars,186.0,900.0,46,0,1,0,2,0,3,,,1778,1778,1980,1980
blackout_only,sparse,1,moon,186.0,900.0,46,5,5,7,7,20,20,5.129853,6.727811,1778,1778,1980,1980
blackout_only,sparse,2,leo,186.0,900.0,46,0,1,0,2,0,3,,,1778,1778,1980,1980
blackout_only,sparse,3,earth,186.0,900.0,46,5,5,8,8,21,21,0.184025,62.555236,1778,1778,1980,1980
with_repeater,sparse,0,mars,186.0,900.0,46,0,1,0,2,0,3,,,1778,1778,1980,1980
with_repeater,sparse,1,moon,186.0,900.0,46,5,5,7,7,20,20,5.133937,6.764302,1778,1778,1980,1980
with_repeater,sparse,2,leo,186.0,900.0,46,0,1,0,2,0,3,,,1778,1778,1980,1980
with_repeater,sparse,3,earth,186.0,900.0,46,5,5,8,8,21,21,0.183063,62.535745,1778,1778,1980,1980
blackout_only,sparse,0,mars,186.0,900.0,47,0,1,0,2,0,3,,,1778,1778,1980,1980
blackout_only,sparse,1,moon,186.0,900.0,47,5,5,7,7,20,20,5.133577,6.761911,1778,1778,1980,1980
blackout_only,sparse,2,leo,186.0,900.0,47,0,1,0,2,0,3,,,1778,1778,1980,1980
blackout_only,sparse,3,earth,186.0,900.0,47,5,5,8,8,21,21,0.183206,62.548082,1778,1778,1980,1980
with_repeater,sparse,0,mars,186.0,900.0,47,0,1,0,2,0,3,,,1778,1778,1980,1980
with_repeater,sparse,1,moon,186.0,900.0,47,5,5,7,7,20,20,5.133489,6.748043,1778,1778,1980,1980
with_repeater,sparse,2,leo,186.0,900.0,47,0,1,0,2,0,3,,,1778,1778,1980,1980
with_repeater,sparse,3,earth,186.0,900.0,47,5,5,8,8,21,21,0.182976,62.582134,1778,1778,1980,1980
blackout_only,sparse,0,mars,186.0,900.0,48,0,1,0,2,0,3,,,1777,1777,1980,1980
blackout_only,sparse,1,moon,186.0,900.0,48,5,5,7,7,20,20,5.131284,6.705216,1777,1777,1980,1980
blackout_only,sparse,2,leo,186.0,900.0,48,0,1,0,2,0,3,,,1777,1777,1980,1980
blackout_only,sparse,3,earth,186.0,900.0,48,5,5,8,8,21,21,0.183032,62.554421,1777,1777,1980,1980
with_repeater,sparse,0,mars,186.0,900.0,48,0,1,0,2,0,3,,,1777,1777,1980,1980
with_repeater,sparse,1,moon,186.0,900.0,48,5,5,7,7,20,20,5.132082,6.716073,1777,1777,1980,1980
with_repeater,sparse,2,leo,186.0,900.0,48,0,1,0,2,0,3,,,1777,1777,1980,1980
with_repeater,sparse,3,earth,186.0,900.0,48,5,5,8,8,21,21,0.183732,62.561936,1777,1777,1980,1980
blackout_only,sparse,0,mars,186.0,900.0,49,0,1,0,2,0,3,,,1778,1778,1980,1980
blackout_only,sparse,1,moon,186.0,900.0,49,5,5,7,7,20,20,5.131112,6.723032,1778,1778,1980,1980
blackout_only,sparse,2,leo,186.0,900.0,49,0,1,0,2,0,3,,,1778,1778,1980,1980
blackout_only,sparse,3,earth,186.0,900.0,49,5,5,8,8,21,21,0.182041,62.564602,1778,1778,1980,1980
with_repeater,sparse,0,mars,186.0,900.0,49,0,1,0,2,0,3,,,1777,1777,1980,1980
with_repeater,sparse,1,moon,186.0,900.0,49,5,5,7,7,20,20,5.129520,6.697331,1777,1777,1980,1980
with_repeater,sparse,2,leo,186.0,900.0,49,0,1,0,2,0,3,,,1777,1777,1980,1980
with_repeater,sparse,3,earth,186.0,900.0,49,5,5,8,8,21,21,0.182731,62.562345,1777,1777,1980,1980
blackout_only,sparse,0,mars,186.0,900.0,50,0,1,0,2,0,3,,,1777,1777,1980,1980
blackout_only,sparse,1,moon,186.0,900.0,50,5,5,7,7,20,20,5.133516,6.774344,1777,1777,1980,1980
blackout_only,sparse,2,leo,186.0,900.0,50,0,1,0,2,0,3,,,1777,1777,1980,1980
blackout_only,sparse,3,earth,186.0,900.0,50,5,5,8,8,21,21,0.180258,62.494117,1777,1777,1980,1980
with_repeater,sparse,0,mars,186.0,900.0,50,0,1,0,2,0,3,,,1777,1777,1980,1980
with_repeater,sparse,1,moon,186.0,900.0,50,5,5,7,7,20,20,5.131579,6.700710,1777,1777,1980,1980
with_repeater,sparse,2,leo,186.0,900.0,50,0,1,0,2,0,3,,,1777,1777,1980,1980
with_repeater,sparse,3,earth,186.0,900.0,50,5,5,8,8,21,21,0.183607,62.579781,1777,1777,1980,1980
blackout_only,sparse,0,mars,186.0,900.0,51,0,1,0,2,0,3,,,1777,1777,1980,1980
blackout_only,sparse,1,moon,186.0,900.0,51,5,5,7,7,20,20,5.131108,6.662779,1777,1777,1980,1980
