scenario,topology,tier_index,tier_name,mars_base_latency_s,blackout_duration_s,during_rate_mean,during_rate_ci95,post_rate_mean,post_rate_ci95,avg_latency_s_mean,avg_latency_s_ci95,recovery_s_mean,recovery_s_ci95,n_seeds
blackout_only,full_coverage,0,mars,186.0,300.0,,,1.000000,0.000000,753.010946,0.675039,991.468037,1.700089,0
blackout_only,full_coverage,0,mars,186.0,900.0,,,1.000000,0.000000,752.495681,0.691408,1009.280187,1.660567,0
blackout_only,full_coverage,0,mars,186.0,1800.0,0.000000,0.000000,1.000000,0.000000,753.184341,0.818609,1351.408681,1.637217,50
blackout_only,full_coverage,0,mars,750.0,300.0,,,,,3008.570015,1.150292,,,0
blackout_only,full_coverage,0,mars,750.0,900.0,,,1.000000,0.000000,3008.933269,0.801155,3470.376539,1.602310,0
blackout_only,full_coverage,0,mars,750.0,1800.0,,,,,3008.570015,1.150292,,,0
blackout_only,full_coverage,0,mars,1342.0,300.0,,,,,5376.673984,1.076293,,,0
blackout_only,full_coverage,0,mars,1342.0,900.0,,,1.000000,0.000000,5376.414058,0.850354,6725.338116,1.700708,0
blackout_only,full_coverage,0,mars,1342.0,1800.0,,,1.000000,0.000000,5376.254550,0.717467,5825.019099,1.434934,0
blackout_only,full_coverage,1,moon,186.0,300.0,1.000000,0.000000,1.000000,0.000000,5.131443,0.000392,1.443248,0.007286,50
blackout_only,full_coverage,1,moon,186.0,900.0,1.000000,0.000000,1.000000,0.000000,5.131409,0.000416,27.099389,0.009201,50
blackout_only,full_coverage,1,moon,186.0,1800.0,1.000000,0.000000,1.000000,0.000000,5.131478,0.000454,3.022124,0.012157,50
blackout_only,full_coverage,1,moon,750.0,300.0,1.000000,0.000000,1.000000,0.000000,5.131263,0.000291,59.469681,0.014401,50
blackout_only,full_coverage,1,moon,750.0,900.0,1.000000,0.000000,1.000000,0.000000,5.131378,0.000285,85.128190,0.016171,50
blackout_only,full_coverage,1,moon,750.0,1800.0,1.000000,0.000000,1.000000,0.000000,5.131453,0.000279,61.048784,0.016850,50
blackout_only,full_coverage,1,moon,1342.0,300.0,1.000000,0.000000,1.000000,0.000000,5.131301,0.000264,102.607078,0.019816,50
blackout_only,full_coverage,1,moon,1342.0,900.0,1.000000,0.000000,1.000000,0.000000,5.131135,0.000231,3.130848,0.019895,50
blackout_only,full_coverage,1,moon,1342.0,1800.0,1.000000,0.000000,1.000000,0.000000,5.131240,0.000228,104.184539,0.020248,50
blackout_only,full_coverage,2,leo,186.0,300.0,1.000000,0.000000,1.000000,0.000000,0.131073,0.000246,66.573568,0.005025,50
blackout_only,full_coverage,2,leo,186.0,900.0,1.000000,0.000000,1.000000,0.000000,0.131099,0.000248,67.226926,0.006505,50
blackout_only,full_coverage,2,leo,186.0,1800.0,1.000000,0.000000,1.000000,0.000000,0.131199,0.000260,8.146090,0.007032,50
blackout_only,full_coverage,2,leo,750.0,300.0,1.000000,0.000000,1.000000,0.000000,0.131223,0.000224,9.590844,0.010072,50
blackout_only,full_coverage,2,leo,750.0,900.0,1.000000,0.000000,1.000000,0.000000,0.131101,0.000229,10.247217,0.011300,50
blackout_only,full_coverage,2,leo,750.0,1800.0,1.000000,0.000000,1.000000,0.000000,0.131070,0.000192,71.292536,0.011777,50
blackout_only,full_coverage,2,leo,1342.0,300.0,1.000000,0.000000,1.000000,0.000000,0.131108,0.000143,52.862086,0.013616,50
blackout_only,full_coverage,2,leo,1342.0,900.0,1.000000,0.000000,1.000000,0.000000,0.131086,0.000133,53.513475,0.013392,50
blackout_only,full_coverage,2,leo,1342.0,1800.0,1.000000,0.000000,1.000000,0.000000,0.131019,0.000158,114.561023,0.014305,50
blackout_only,full_coverage,3,earth,186.0,300.0,1.000000,0.000000,1.000000,0.000000,0.183164,0.000374,67.196276,0.007963,50
blackout_only,full_coverage,3,earth,186.0,900.0,1.000000,0.000000,1.000000,0.000000,0.183257,0.000357,68.114200,0.008844,50
blackout_only,full_coverage,3,earth,186.0,1800.0,1.000000,0.000000,1.000000,0.000000,0.182859,0.000341,9.390115,0.010332,50
blackout_only,full_coverage,3,earth,750.0,300.0,1.000000,0.000000,1.000000,0.000000,0.182983,0.000303,11.410103,0.013896,50
