scenario,topology,tier_index,tier_name,mars_base_latency_s,blackout_duration_s,seed,pre_success,pre_total,during_success,during_total,post_success,post_total,transition_success,transition_total,phase_timeout_s,pre_window_s,post_window_s,temporally_scaled,avg_latency_s,first_post_blackout_s,earth_local_success,earth_local_total,mars_local_success,mars_local_total
blackout_only,sparse,1,moon,186.0,300.0,47,8,8,2,2,24,24,1,1,500.000000,955.000000,3100.000000,0,5.130868,1.485965,1935,1935,2155,2155
blackout_only,sparse,2,leo,186.0,300.0,47,0,1,0,0,0,4,0,2,500.000000,955.000000,3100.000000,0,,,1935,1935,2155,2155
blackout_only,sparse,3,earth,186.0,300.0,47,8,8,3,3,26,26,0,0,500.000000,955.000000,3100.000000,0,0.182778,67.186429,1935,1935,2155,2155
with_repeater,sparse,0,mars,186.0,300.0,47,0,1,0,0,0,2,0,1,500.000000,955.000000,3100.000000,1,,,1935,1935,2155,2155
with_repeater,sparse,1,moon,186.0,300.0,47,8,8,2,2,24,24,1,1,500.000000,955.000000,3100.000000,0,5.132335,1.477174,1935,1935,2155,2155
with_repeater,sparse,2,leo,186.0,300.0,47,0,1,0,0,0,4,0,2,500.000000,955.000000,3100.000000,0,,,1935,1935,2155,2155
with_repeater,sparse,3,earth,186.0,300.0,47,8,8,3,3,26,26,0,0,500.000000,955.000000,3100.000000,0,0.181897,67.208356,1935,1935,2155,2155
blackout_only,sparse,0,mars,186.0,300.0,48,0,1,0,0,0,2,0,1,500.000000,955.000000,3100.000000,1,,,1935,1935,2155,2155
blackout_only,sparse,1,moon,186.0,300.0,48,8,8,2,2,24,24,1,1,500.000000,955.000000,3100.000000,0,5.132536,1.411096,1935,1935,2155,2155
blackout_only,sparse,2,leo,186.0,300.0,48,0,1,0,0,0,4,0,2,500.000000,955.000000,3100.000000,0,,,1935,1935,2155,2155
blackout_only,sparse,3,earth,186.0,300.0,48,8,8,3,3,26,26,0,0,500.000000,955.000000,3100.000000,0,0.181565,67.152789,1935,1935,2155,2155
with_repeater,sparse,0,mars,186.0,300.0,48,0,1,0,0,0,2,0,1,500.000000,955.000000,3100.000000,1,,,1935,1935,2155,2155
with_repeater,sparse,1,moon,186.0,300.0,48,8,8,2,2,24,24,1,1,500.000000,955.000000,3100.000000,0,5.129096,1.387980,1935,1935,2155,2155
with_repeater,sparse,2,leo,186.0,300.0,48,0,1,0,0,0,4,0,2,500.000000,955.000000,3100.000000,0,,,1935,1935,2155,2155
with_repeater,sparse,3,earth,186.0,300.0,48,8,8,3,3,26,26,0,0,500.000000,955.000000,3100.000000,0,0.181853,67.170442,1935,1935,2155,2155
blackout_only,sparse,0,mars,186.0,300.0,49,0,1,0,0,0,2,0,1,500.000000,955.000000,3100.000000,1,,,1935,1935,2155,2155
blackout_only,sparse,1,moon,186.0,300.0,49,8,8,2,2,24,24,1,1,500.000000,955.000000,3100.000000,0,5.131452,1.457306,1935,1935,2155,2155
blackout_only,sparse,2,leo,186.0,300.0,49,0,1,0,0,0,4,0,2,500.000000,955.000000,3100.000000,0,,,1935,1935,2155,2155
blackout_only,sparse,3,earth,186.0,300.0,49,8,8,3,3,26,26,0,0,500.000000,955.000000,3100.000000,0,0.185078,67.216151,1935,1935,2155,2155
with_repeater,sparse,0,mars,186.0,300.0,49,0,1,0,0,0,2,0,1,500.000000,955.000000,3100.000000,1,,,1935,1935,2155,2155
with_repeater,sparse,1,moon,186.0,300.0,49,8,8,2,2,24,24,1,1,500.000000,955.000000,3100.000000,0,5.130887,1.483480,1935,1935,2155,2155
with_repeater,sparse,2,leo,186.0,300.0,49,0,1,0,0,0,4,0,2,500.000000,955.000000,3100.000000,0,,,1935,1935,2155,2155
with_repeater,sparse,3,earth,186.0,300.0,49,8,8,3,3,26,26,0,0,500.000000,955.000000,3100.000000,0,0.184195,67.204550,1935,1935,2155,2155
blackout_only,sparse,0,mars,186.0,300.0,50,0,1,0,0,0,2,0,1,500.000000,955.000000,3100.000000,1,,,1935,1935,2155,2155
blackout_only,sparse,1,moon,186.0,300.0,50,8,8,2,2,24,24,1,1,500.000000,955.000000,3100.000000,0,5.131940,1.454578,1935,1935,2155,2155
blackout_only,sparse,2,leo,186.0,300.0,50,0,1,0,0,0,4,0,2,500.000000,955.000000,3100.000000,0,,,1935,1935,2155,2155
blackout_only,sparse,3,earth,186.0,300.0,50,8,8,3,3,26,26,0,0,500.000000,955.000000,3100.000000,0,0.182029,67.186366,1935,1935,2155,2155
with_repeater,sparse,0,mars,186.0,300.0,50,0,1,0,0,0,2,0,1,500.000000,955.000000,3100.000000,1,,,1935,1935,2155,2155
with_repeater,sparse,1,moon,186.0,300.0,50,8,8,2,2,24,24,1,1,500.000000,955.000000,3100.000000,0,5.131690,1.450000,1935,1935,2155,2155
with_repeater,sparse,2,leo,186.0,300.0,50,0,1,0,0,0,4,0,2,500.000000,955.000000,3100.000000,0,,,1935,1935,2155,2155
with_repeater,sparse,3,earth,186.0,300.0,50,8,8,3,3,26,26,0,0,500.000000,955.000000,3100.000000,0,0.184045,67.197275,1935,1935,2155,2155
blackout_only,sparse,0,mars,186.0,300.0,51,0,1,0,0,0,2,0,1,500.000000,955.000000,3100.000000,1,,,1935,1935,2155,2155
blackout_only,sparse,1,moon,186.0,300.0,51,8,8,2,2,24,24,1,1,500.000000,955.000000,3100.000000,0,5.131822,1.407154,1935,1935,2155,2155
blackout_only,sparse,2,leo,186.0,300.0,51,0,1,0,0,0,4,0,2,500.000000,955.000000,3100.000000,0,,,1935,1935,2155,2155
blackout_only,sparse,3,earth,186.0,300.0,51,8,8,3,3,26,26,0,0,500.000000,955.000000,3100.000000,0,0.182664,67.230036,1935,1935,2155,2155
with_repeater,sparse,0,mars,186.0,300.0,51,0,1,0,0,0,2,0,1,500.000000,955.000000,3100.000000,1,,,1935,1935,2155,2155
with_repeater,sparse,1,moon,186.0,300.0,51,8,8,2,2,24,24,1,1,500.000000,955.000000,3100.000000,0,5.131124,1.436156,1935,1935,2155,2155
with_repeater,sparse,2,leo,186.0,300.0,51,0,1,0,0,0,4,0,2,500.000000,955.000000,3100.000000,0,,,1935,1935,2155,2155
with_repeater,sparse,3,earth,186.0,300.0,51,8,8,3,3,26,26,0,0,500.000000,955.000000,3100.000000,0,0.184810,67.242867,1935,1935,2155,2155
blackout_only,sparse,0,mars,186.0,300.0,52,0,1,0,0,0,2,0,1,500.000000,955.000000,3100.000000,1,,,1935,1935,2155,2155
blackout_only,sparse,1,moon,186.0,300.0,52,8,8,2,2,24,24,1,1,500.000000,955.000000,3100.000000,0,5.132757,1.452528,1935,1935,2155,2155
blackout_only,sparse,2,leo,186.0,300.0,52,0,1,0,0,0,4,0,2,500.000000,955.000000,3100.000000,0,,,1935,1935,2155,2155
blackout_only,sparse,3,earth,186.0,300.0,52,8,8,3,3,26,26,0,0,500.000000,955.000000,3100.000000,0,0.183243,67.169693,1935,1935,2155,2155
with_repeater,sparse,0,mars,186.0,300.0,52,0,1,0,0,0,2,0,1,500.000000,955.000000,3100.000000,1,,,1935,1935,2155,2155
with_repeater,sparse,1,moon,186.0,300.0,52,8,8,2,2,24,24,1,1,500.000000,955.000000,3100.000000,0,5.131284,1.433227,1935,1935,2155,2155
with_repeater,sparse,2,leo,186.0,300.0,52,0,1,0,0,0,4,0,2,500.000000,955.000000,3100.000000,0,,,1935,1935,2155,2155
with_repeater,sparse,3,earth,186.0,300.0,52,8,8,3,3,26,26,0,0,500.000000,955.000000,3100.000000,0,0.180875,67.143734,1935,1935,2155,2155
blackout_only,sparse,0,mars,186.0,300.0,53,0,1,0,0,0,2,0,1,500.000000,955.000000,3100.000000,1,,,1935,1935,2155,2155
blackout_only,sparse,1,moon,186.0,300.0,53,8,8,2,2,24,24,1,1,500.000000,955.000000,3100.000000,0,5.132414,1.425302,1935,1935,2155,2155
blackout_only,sparse,2,leo,186.0,300.0,53,0,1,0,0,0,4,0,2,500.000000,955.000000,3100.000000,0,,,1935,1935,2155,2155
blackout_only,sparse,3,earth,186.0,300.0,53,8,8,3,3,26,26,0,0,500.000000,955.000000,3100.000000,0,0.181591,67.208159,1935,1935,2155,2155
with_repeater,sparse,0,mars,186.0,300.0,53,0,1,0,0,0,2,0,1,500.000000,955.000000,3100.000000,1,,,1935,1935,2155,2155
with_repeater,sparse,1,moon,186.0,300.0,53,8,8,2,2,24,24,1,1,500.000000,955.000000,3100.000000,0,5.131221,1.439428,1935,1935,2155,2155
with_repeater,sparse,2,leo,186.0,300.0,53,0,1,0,0,0,4,0,2,500.000000,955.000000,3100.000000,0,,,1935,1935,2155,2155
with_repeater,sparse,3,earth,186.0,300.0,53,8,8,3,3,26,26,0,0,500.000000,955.000000,3100.000000,0,0.180880,67.186942,1935,1935,2155,2155
blackout_only,sparse,0,mars,186.0,300.0,54,0,1,0,0,0,2,0,1,500.000000,955.000000,3100.000000,1,,,1935,1935,2155,2155
blackout_only,sparse,1,moon,186.0,300.0,54,8,8,2,2,24,24,1,1,500.000000,955.000000,3100.000000,0,5.131795,1.441250,1935,1935,2155,2155
blackout_only,sparse,2,leo,186.0,300.0,54,0,1,0,0,0,4,0,2,500.000000,955.000000,3100.000000,0,,,1935,1935,2155,2155
blackout_only,sparse,3,earth,186.0,300.0,54,8,8,3,3,26,26,0,0,500.000000,955.000000,3100.000000,0,0.185948,67.213994,1935,1935,2155,2155
with_repeater,sparse,0,mars,186.0,300.0,54,0,1,0,0,0,2,0,1,500.000000,955.000000,3100.000000,1,,,1935,1935,2155,2155
with_repeater,sparse,1,moon,186.0,300.0,54,8,8,2,2,24,24,1,1,500.000000,955.000000,3100.000000,0,5.131874,1.443916,1935,1935,2155,2155
