scenario,mars_base_latency_s,blackout_start_s,blackout_duration_s,sim_end_s,reconcile_interval_s,earth_success,earth_total,mars_success,mars_total,global_pre_success,global_pre_total,global_during_success,global_during_total,global_post_success,global_post_total,first_success_after_blackout_s,avg_global_latency_s,earth_local_avg_latency_s,earth_local_p95_latency_s,mars_local_avg_latency_s,mars_local_p95_latency_s,global_phase1_responses_earth,global_phase1_responses_leo,global_phase1_responses_moon,global_phase1_responses_mars,global_phase2_responses_earth,global_phase2_responses_leo,global_phase2_responses_moon,global_phase2_responses_mars,network_src_sent_earth,network_src_sent_leo,network_src_sent_moon,network_src_sent_mars,network_src_avg_oneway_s_earth,network_src_avg_oneway_s_leo,network_src_avg_oneway_s_moon,network_src_avg_oneway_s_mars
blackout_only,186.0,600.0,900.0,3000.0,120.0,1333,1333,1485,1485,1,2,0,1,2,2,596.228663,367.476015,0.250754,0.263201,0.021080,0.022743,30,6,6,9,15,3,3,9,26795,9,9,17844,0.222382,0.019317,1.281827,0.191106
with_repeater,186.0,600.0,900.0,3000.0,120.0,1333,1333,1485,1485,2,2,1,1,3,3,25.637739,398.057310,0.250890,0.263006,0.021033,0.022606,30,6,6,18,30,6,6,15,26840,12,12,17853,0.297244,0.019900,1.278995,0.374727
