scenario,mars_base_latency_s,global_timeout_s,blackout_duration_s,seed,global_pre_success,global_pre_total,global_during_success,global_during_total,global_post_success,global_post_total,global_during_rate,global_post_rate,first_success_after_blackout_s,avg_global_latency_s
with_repeater,186.0,120.0,300.0,66,0,3,0,1,0,13,0.000000,0.000000,,
blackout_only,186.0,120.0,300.0,67,0,3,0,1,0,13,0.000000,0.000000,,
with_repeater,186.0,120.0,300.0,67,0,3,0,1,0,13,0.000000,0.000000,,
blackout_only,186.0,120.0,300.0,68,0,3,0,1,0,13,0.000000,0.000000,,
with_repeater,186.0,120.0,300.0,68,0,3,0,1,0,13,0.000000,0.000000,,
blackout_only,186.0,120.0,300.0,69,0,3,0,1,0,13,0.000000,0.000000,,
with_repeater,186.0,120.0,300.0,69,0,3,0,1,0,13,0.000000,0.000000,,
blackout_only,186.0,120.0,300.0,70,0,3,0,1,0,13,0.000000,0.000000,,
with_repeater,186.0,120.0,300.0,70,0,3,0,1,0,13,0.000000,0.000000,,
blackout_only,186.0,120.0,300.0,71,0,3,0,1,0,13,0.000000,0.000000,,
with_repeater,186.0,120.0,300.0,71,0,3,0,1,0,13,0.000000,0.000000,,
blackout_only,186.0,120.0,300.0,72,0,3,0,1,0,13,0.000000,0.000000,,
with_repeater,186.0,120.0,300.0,72,0,3,0,1,0,13,0.000000,0.000000,,
blackout_only,186.0,120.0,300.0,73,0,3,0,1,0,13,0.000000,0.000000,,
with_repeater,186.0,120.0,300.0,73,0,3,0,1,0,13,0.000000,0.000000,,
blackout_only,186.0,120.0,300.0,74,0,3,0,1,0,13,0.000000,0.000000,,
with_repeater,186.0,120.0,300.0,74,0,3,0,1,0,13,0.000000,0.000000,,
blackout_only,186.0,120.0,300.0,75,0,3,0,1,0,13,0.000000,0.000000,,
with_repeater,186.0,120.0,300.0,75,0,3,0,1,0,13,0.000000,0.000000,,
blackout_only,186.0,120.0,300.0,76,0,3,0,1,0,13,0.000000,0.000000,,
with_repeater,186.0,120.0,300.0,76,0,3,0,1,0,13,0.000000,0.000000,,
blackout_only,186.0,120.0,300.0,77,0,3,0,1,0,13,0.000000,0.000000,,
with_repeater,186.0,120.0,300.0,77,0,3,0,1,0,13,0.000000,0.000000,,
blackout_only,186.0,120.0,300.0,78,0,3,0,1,0,13,0.000000,0.000000,,
with_repeater,186.0,120.0,300.0,78,0,3,0,1,0,13,0.000000,0.000000,,
blackout_only,186.0,120.0,300.0,79,0,3,0,1,0,13,0.000000,0.000000,,
with_repeater,186.0,120.0,300.0,79,0,3,0,1,0,13,0.000000,0.000000,,
blackout_only,186.0,120.0,300.0,80,0,3,0,1,0,13,0.000000,0.000000,,
with_repeater,186.0,120.0,300.0,80,0,3,0,1,0,13,0.000000,0.000000,,
blackout_only,186.0,120.0,300.0,81,0,3,0,1,0,13,0.000000,0.000000,,
with_repeater,186.0,120.0,300.0,81,0,3,0,1,0,13,0.000000,0.000000,,
blackout_only,186.0,120.0,300.0,82,0,3,0,1,0,13,0.000000,0.000000,,
with_repeater,186.0,120.0,300.0,82,0,3,0,1,0,13,0.000000,0.000000,,
blackout_only,186.0,120.0,300.0,83,0,3,0,1,0,13,0.000000,0.000000,,
with_repeater,186.0,120.0,300.0,83,0,3,0,1,0,13,0.000000,0.000000,,
blackout_only,186.0,120.0,300.0,84,0,3,0,1,0,13,0.000000,0.000000,,
with_repeater,186.0,120.0,300.0,84,0,3,0,1,0,13,0.000000,0.000000,,
blackout_only,186.0,120.0,300.0,85,0,3,0,1,0,13,0.000000,0.000000,,
with_repeater,186.0,120.0,300.0,85,0,3,0,1,0,13,0.000000,0.000000,,
blackout_only,186.0,120.0,300.0,86,0,3,0,1,0,13,0.000000,0.000000,,
with_repeater,186.0,120.0,300.0,86,0,3,0,1,0,13,0.000000,0.000000,,
blackout_only,186.0,120.0,300.0,87,0,3,0,1,0,13,0.000000,0.000000,,
with_repeater,186.0,120.0,300.0,87,0,3,0,1,0,13,0.000000,0.000000,,
blackout_only,186.0,120.0,300.0,88,0,3,0,1,0,13,0.000000,0.000000,,
with_repeater,186.0,120.0,300.0,88,0,3,0,1,0,13,0.000000,0.000000,,
blackout_only,186.0,120.0,300.0,89,0,3,0,1,0,13,0.000000,0.000000,,
with_repeater,186.0,120.0,300.0,89,0,3,0,1,0,13,0.000000,0.000000,,
blackout_only,186.0,120.0,900.0,40,0,3,0,4,0,10,0.000000,0.000000,,
with_repeater,186.0,120.0,900.0,40,0,3,0,4,0,10,0.000000,0.000000,,
blackout_only,186.0,120.0,900.0,41,0,3,0,4,0,10,0.000000,0.000000,,
with_repeater,186.0,120.0,900.0,41,0,3,0,4,0,10,0.000000,0.000000,,
blackout_only,186.0,120.0,900.0,42,0,3,0,4,0,10,0.000000,0.000000,,
with_repeater,186.0,120.0,900.0,42,0,3,0,4,0,10,0.000000,0.000000,,
blackout_only,186.0,120.0,900.0,43,0,3,0,4,0,10,0.000000,0.000000,,
with_repeater,186.0,120.0,900.0,43,0,3,0,4,0,10,0.000000,0.000000,,
blackout_only,186.0,120.0,900.0,44,0,3,0,4,0,10,0.000000,0.000000,,
with_repeater,186.0,120.0,900.0,44,0,3,0,4,0,10,0.000000,0.000000,,
blackout_only,186.0,120.0,900.0,45,0,3,0,4,0,10,0.000000,0.000000,,
with_repeater,186.0,120.0,900.0,45,0,3,0,4,0,10,0.000000,0.000000,,
blackout_only,186.0,120.0,900.0,46,0,3,0,4,0,10,0.000000,0.000000,,
with_repeater,186.0,120.0,900.0,46,0,3,0,4,0,10,0.000000,0.000000,,
blackout_only,186.0,120.0,900.0,47,0,3,0,4,0,10,0.000000,0.000000,,
with_repeater,186.0,120.0,900.0,47,0,3,0,4,0,10,0.000000,0.000000,,
blackout_only,186.0,120.0,900.0,48,0,3,0,4,0,10,0.000000,0.000000,,
with_repeater,186.0,120.0,900.0,48,0,3,0,4,0,10,0.000000,0.000000,,
blackout_only,186.0,120.0,900.0,49,0,3,0,4,0,10,0.000000,0.000000,,
with_repeater,186.0,120.0,900.0,49,0,3,0,4,0,10,0.000000,0.000000,,
blackout_only,186.0,120.0,900.0,50,0,3,0,4,0,10,0.000000,0.000000,,
with_repeater,186.0,120.0,900.0,50,0,3,0,4,0,10,0.000000,0.000000,,
blackout_only,186.0,120.0,900.0,51,0,3,0,4,0,10,0.000000,0.000000,,
with_repeater,186.0,120.0,900.0,51,0,3,0,4,0,10,0.000000,0.000000,,
blackout_only,186.0,120.0,900.0,52,0,3,0,4,0,10,0.000000,0.000000,,
with_repeater,186.0,120.0,900.0,52,0,3,0,4,0,10,0.000000,0.000000,,
blackout_only,186.0,120.0,900.0,53,0,3,0,4,0,10,0.000000,0.000000,,
with_repeater,186.0,120.0,900.0,53,0,3,0,4,0,10,0.000000,0.000000,,
blackout_only,186.0,120.0,900.0,54,0,3,0,4,0,10,0.000000,0.000000,,
with_repeater,186.0,120.0,900.0,54,0,3,0,4,0,10,0.000000,0.000000,,
blackout_only,186.0,120.0,900.0,55,0,3,0,4,0,10,0.000000,0.000000,,
with_repeater,186.0,120.0,900.0,55,0,3,0,4,0,10,0.000000,0.000000,,
blackout_only,186.0,120.0,900.0,56,0,3,0,4,0,10,0.000000,0.000000,,
with_repeater,186.0,120.0,900.0,56,0,3,0,4,0,10,0.000000,0.000000,,
blackout_only,186.0,120.0,900.0,57,0,3,0,4,0,10,0.000000,0.000000,,
with_repeater,186.0,120.0,900.0,57,0,3,0,4,0,10,0.000000,0.000000,,
blackout_only,186.0,120.0,900.0,58,0,3,0,4,0,10,0.000000,0.000000,,
with_repeater,186.0,120.0,900.0,58,0,3,0,4,0,10,0.000000,0.000000,,
blackout_only,186.0,120.0,900.0,59,0,3,0,4,0,10,0.000000,0.000000,,
with_repeater,186.0,120.0,900.0,59,0,3,0,4,0,10,0.000000,0.000000,,
blackout_only,186.0,120.0,900.0,60,0,3,0,4,0,10,0.000000,0.000000,,
with_repeater,186.0,120.0,900.0,60,0,3,0,4,0,10,0.000000,0.000000,,
blackout_only,186.0,120.0,900.0,61,0,3,0,4,0,10,0.000000,0.000000,,
with_repeater,186.0,120.0,900.0,61,0,3,0,4,0,10,0.000000,0.000000,,
blackout_only,186.0,120.0,900.0,62,0,3,0,4,0,10,0.000000,0.000000,,
with_repeater,186.0,120.0,900.0,62,0,3,0,4,0,10,0.000000,0.000000,,
blackout_only,186.0,120.0,900.0,63,0,3,0,4,0,10,0.000000,0.000000,,
with_repeater,186.0,120.0,900.0,63,0,3,0,4,0,10,0.000000,0.000000,,
blackout_only,186.0,120.0,900.0,64,0,3,0,4,0,10,0.000000,0.000000,,
with_repeater,186.0,120.0,900.0,64,0,3,0,4,0,10,0.000000,0.000000,,
blackout_only,186.0,120.0,900.0,65,0,3,0,4,0,10,0.000000,0.000000,,
with_repeater,186.0,120.0,900.0,65,0,3,0,4,0,10,0.000000,0.000000,,
blackout_only,186.0,120.0,900.0,66,0,3,0,4,0,10,0.000000,0.000000,,
with_repeater,186.0,120.0,900.0,66,0,3,0,4,0,10,0.000000,0.000000,,
blackout_only,186.0,120.0,900.0,67,0,3,0,4,0,10,0.000000,0.000000,,
with_repeater,186.0,120.0,900.0,67,0,3,0,4,0,10,0.000000,0.000000,,
blackout_only,186.0,120.0,900.0,68,0,3,0,4,0,10,0.000000,0.000000,,
with_repeater,186.0,120.0,900.0,68,0,3,0,4,0,10,0.000000,0.000000,,
blackout_only,186.0,120.0,900.0,69,0,3,0,4,0,10,0.000000,0.000000,,
with_repeater,186.0,120.0,900.0,69,0,3,0,4,0,10,0.000000,0.000000,,
blackout_only,186.0,120.0,900.0,70,0,3,0,4,0,10,0.000000,0.000000,,
with_repeater,186.0,120.0,900.0,70,0,3,0,4,0,10,0.000000,0.000000,,
blackout_only,186.0,120.0,900.0,71,0,3,0,4,0,10,0.000000,0.000000,,
with_repeater,186.0,120.0,900.0,71,0,3,0,4,0,10,0.000000,0.000000,,
blackout_only,186.0,120.0,900.0,72,0,3,0,4,0,10,0.000000,0.000000,,
with_repeater,186.0,120.0,900.0,72,0,3,0,4,0,10,0.000000,0.000000,,
blackout_only,186.0,120.0,900.0,73,0,3,0,4,0,10,0.000000,0.000000,,
with_repeater,186.0,120.0,900.0,73,0,3,0,4,0,10,0.000000,0.000000,,
blackout_only,186.0,120.0,900.0,74,0,3,0,4,0,10,0.000000,0.000000,,
with_repeater,186.0,120.0,900.0,74,0,3,0,4,0,10,0.000000,0.000000,,
blackout_only,186.0,120.0,900.0,75,0,3,0,4,0,10,0.000000,0.000000,,
with_repeater,186.0,120.0,900.0,75,0,3,0,4,0,10,0.000000,0.000000,,
blackout_only,186.0,120.0,900.0,76,0,3,0,4,0,10,0.000000,0.000000,,
with_repeater,186.0,120.0,900.0,76,0,3,0,4,0,10,0.000000,0.000000,,
blackout_only,186.0,120.0,900.0,77,0,3,0,4,0,10,0.000000,0.000000,,
with_repeater,186.0,120.0,900.0,77,0,3,0,4,0,10,0.000000,0.000000,,
blackout_only,186.0,120.0,900.0,78,0,3,0,4,0,10,0.000000,0.000000,,
with_repeater,186.0,120.0,900.0,78,0,3,0,4,0,10,0.000000,0.000000,,
blackout_only,186.0,120.0,900.0,79,0,3,0,4,0,10,0.000000,0.000000,,
with_repeater,186.0,120.0,900.0,79,0,3,0,4,0,10,0.000000,0.000000,,
blackout_only,186.0,120.0,900.0,80,0,3,0,4,0,10,0.000000,0.000000,,
with_repeater,186.0,120.0,900.0,80,0,3,0,4,0,10,0.000000,0.000000,,
blackout_only,186.0,120.0,900.0,81,0,3,0,4,0,10,0.000000,0.000000,,
with_repeater,186.0,120.0,900.0,81,0,3,0,4,0,10,0.000000,0.000000,,
blackout_only,186.0,120.0,900.0,82,0,3,0,4,0,10,0.000000,0.000000,,
with_repeater,186.0,120.0,900.0,82,0,3,0,4,0,10,0.000000,0.000000,,
blackout_only,186.0,120.0,900.0,83,0,3,0,4,0,10,0.000000,0.000000,,
with_repeater,186.0,120.0,900.0,83,0,3,0,4,0,10,0.000000,0.000000,,
blackout_only,186.0,120.0,900.0,84,0,3,0,4,0,10,0.000000,0.000000,,
with_repeater,186.0,120.0,900.0,84,0,3,0,4,0,10,0.000000,0.000000,,
blackout_only,186.0,120.0,900.0,85,0,3,0,4,0,10,0.000000,0.000000,,
with_repeater,186.0,120.0,900.0,85,0,3,0,4,0,10,0.000000,0.000000,,
blackout_only,186.0,120.0,900.0,86,0,3,0,4,0,10,0.000000,0.000000,,
with_repeater,186.0,120.0,900.0,86,0,3,0,4,0,10,0.000000,0.000000,,
blackout_only,186.0,120.0,900.0,87,0,3,0,4,0,10,0.000000,0.000000,,
with_repeater,186.0,120.0,900.0,87,0,3,0,4,0,10,0.000000,0.000000,,
blackout_only,186.0,120.0,900.0,88,0,3,0,4,0,10,0.000000,0.000000,,
with_repeater,186.0,120.0,900.0,88,0,3,0,4,0,10,0.000000,0.000000,,
blackout_only,186.0,120.0,900.0,89,0,3,0,4,0,10,0.000000,0.000000,,
with_repeater,186.0,120.0,900.0,89,0,3,0,4,0,10,0.000000,0.000000,,
blackout_only,186.0,120.0,1800.0,40,0,3,0,7,0,7,0.000000,0.000000,,
with_repeater,186.0,120.0,1800.0,40,0,3,0,7,0,7,0.000000,0.000000,,
blackout_only,186.0,120.0,1800.0,41,0,3,0,7,0,7,0.000000,0.000000,,
with_repeater,186.0,120.0,1800.0,41,0,3,0,7,0,7,0.000000,0.000000,,
blackout_only,186.0,120.0,1800.0,42,0,3,0,7,0,7,0.000000,0.000000,,
with_repeater,186.0,120.0,1800.0,42,0,3,0,7,0,7,0.000000,0.000000,,
blackout_only,186.0,120.0,1800.0,43,0,3,0,7,0,7,0.000000,0.000000,,
with_repeater,186.0,120.0,1800.0,43,0,3,0,7,0,7,0.000000,0.000000,,
blackout_only,186.0,120.0,1800.0,44,0,3,0,7,0,7,0.000000,0.000000,,
with_repeater,186.0,120.0,1800.0,44,0,3,0,7,0,7,0.000000,0.000000,,
blackout_only,186.0,120.0,1800.0,45,0,3,0,7,0,7,0.000000,0.000000,,
with_repeater,186.0,120.0,1800.0,45,0,3,0,7,0,7,0.000000,0.000000,,
blackout_only,186.0,120.0,1800.0,46,0,3,0,7,0,7,0.000000,0.000000,,
with_repeater,186.0,120.0,1800.0,46,0,3,0,7,0,7,0.000000,0.000000,,
blackout_only,186.0,120.0,1800.0,47,0,3,0,7,0,7,0.000000,0.000000,,
with_repeater,186.0,120.0,1800.0,47,0,3,0,7,0,7,0.000000,0.000000,,
blackout_only,186.0,120.0,1800.0,48,0,3,0,7,0,7,0.000000,0.000000,,
with_repeater,186.0,120.0,1800.0,48,0,3,0,7,0,7,0.000000,0.000000,,
blackout_only,186.0,120.0,1800.0,49,0,3,0,7,0,7,0.000000,0.000000,,
with_repeater,186.0,120.0,1800.0,49,0,3,0,7,0,7,0.000000,0.000000,,
blackout_only,186.0,120.0,1800.0,50,0,3,0,7,0,7,0.000000,0.000000,,
with_repeater,186.0,120.0,1800.0,50,0,3,0,7,0,7,0.000000,0.000000,,
blackout_only,186.0,120.0,1800.0,51,0,3,0,7,0,7,0.000000,0.000000,,
with_repeater,186.0,120.0,1800.0,51,0,3,0,7,0,7,0.000000,0.000000,,
blackout_only,186.0,120.0,1800.0,52,0,3,0,7,0,7,0.000000,0.000000,,
with_repeater,186.0,120.0,1800.0,52,0,3,0,7,0,7,0.000000,0.000000,,
blackout_only,186.0,120.0,1800.0,53,0,3,0,7,0,7,0.000000,0.000000,,
with_repeater,186.0,120.0,1800.0,53,0,3,0,7,0,7,0.000000,0.000000,,
blackout_only,186.0,120.0,1800.0,54,0,3,0,7,0,7,0.000000,0.000000,,
with_repeater,186.0,120.0,1800.0,54,0,3,0,7,0,7,0.000000,0.000000,,
blackout_only,186.0,120.0,1800.0,55,0,3,0,7,0,7,0.000000,0.000000,,
with_repeater,186.0,120.0,1800.0,55,0,3,0,7,0,7,0.000000,0.000000,,
blackout_only,186.0,120.0,1800.0,56,0,3,0,7,0,7,0.000000,0.000000,,
with_repeater,186.0,120.0,1800.0,56,0,3,0,7,0,7,0.000000,0.000000,,
blackout_only,186.0,120.0,1800.0,57,0,3,0,7,0,7,0.000000,0.000000,,
with_repeater,186.0,120.0,1800.0,57,0,3,0,7,0,7,0.000000,0.000000,,
blackout_only,186.0,120.0,1800.0,58,0,3,0,7,0,7,0.000000,0.000000,,
with_repeater,186.0,120.0,1800.0,58,0,3,0,7,0,7,0.000000,0.000000,,
blackout_only,186.0,120.0,1800.0,59,0,3,0,7,0,7,0.000000,0.000000,,
with_repeater,186.0,120.0,1800.0,59,0,3,0,7,0,7,0.000000,0.000000,,
blackout_only,186.0,120.0,1800.0,60,0,3,0,7,0,7,0.000000,0.000000,,
with_repeater,186.0,120.0,1800.0,60,0,3,0,7,0,7,0.000000,0.000000,,
blackout_only,186.0,120.0,1800.0,61,0,3,0,7,0,7,0.000000,0.000000,,
with_repeater,186.0,120.0,1800.0,61,0,3,0,7,0,7,0.000000,0.000000,,
blackout_only,186.0,120.0,1800.0,62,0,3,0,7,0,7,0.000000,0.000000,,
with_repeater,186.0,120.0,1800.0,62,0,3,0,7,0,7,0.000000,0.000000,,
blackout_only,186.0,120.0,1800.0,63,0,3,0,7,0,7,0.000000,0.000000,,
with_repeater,186.0,120.0,1800.0,63,0,3,0,7,0,7,0.000000,0.000000,,
blackout_only,186.0,120.0,1800.0,64,0,3,0,7,0,7,0.000000,0.000000,,
with_repeater,186.0,120.0,1800.0,64,0,3,0,7,0,7,0.000000,0.000000,,
blackout_only,186.0,120.0,1800.0,65,0,3,0,7,0,7,0.000000,0.000000,,
with_repeater,186.0,120.0,1800.0,65,0,3,0,7,0,7,0.000000,0.000000,,
blackout_only,186.0,120.0,1800.0,66,0,3,0,7,0,7,0.000000,0.000000,,
with_repeater,186.0,120.0,1800.0,66,0,3,0,7,0,7,0.000000,0.000000,,
blackout_only,186.0,120.0,1800.0,67,0,3,0,7,0,7,0.000000,0.000000,,
with_repeater,186.0,120.0,1800.0,67,0,3,0,7,0,7,0.000000,0.000000,,
blackout_only,186.0,120.0,1800.0,68,0,3,0,7,0,7,0.000000,0.000000,,
with_repeater,186.0,120.0,1800.0,68,0,3,0,7,0,7,0.000000,0.000000,,
blackout_only,186.0,120.0,1800.0,69,0,3,0,7,0,7,0.000000,0.000000,,
with_repeater,186.0,120.0,1800.0,69,0,3,0,7,0,7,0.000000,0.000000,,
blackout_only,186.0,120.0,1800.0,70,0,3,0,7,0,7,0.000000,0.000000,,
with_repeater,186.0,120.0,1800.0,70,0,3,0,7,0,7,0.000000,0.000000,,
blackout_only,186.0,120.0,1800.0,71,0,3,0,7,0,7,0.000000,0.000000,,
with_repeater,186.0,120.0,1800.0,71,0,3,0,7,0,7,0.000000,0.000000,,
blackout_only,186.0,120.0,1800.0,72,0,3,0,7,0,7,0.000000,0.000000,,
with_repeater,186.0,120.0,1800.0,72,0,3,0,7,0,7,0.000000,0.000000,,
blackout_only,186.0,120.0,1800.0,73,0,3,0,7,0,7,0.000000,0.000000,,
with_repeater,186.0,120.0,1800.0,73,0,3,0,7,0,7,0.000000,0.000000,,
blackout_only,186.0,120.0,1800.0,74,0,3,0,7,0,7,0.000000,0.000000,,
with_repeater,186.0,120.0,1800.0,74,0,3,0,7,0,7,0.000000,0.000000,,
blackout_only,186.0,120.0,1800.0,75,0,3,0,7,0,7,0.000000,0.000000,,
with_repeater,186.0,120.0,1800.0,75,0,3,0,7,0,7,0.000000,0.000000,,
blackout_only,186.0,120.0,1800.0,76,0,3,0,7,0,7,0.000000,0.000000,,
with_repeater,186.0,120.0,1800.0,76,0,3,0,7,0,7,0.000000,0.000000,,
blackout_only,186.0,120.0,1800.0,77,0,3,0,7,0,7,0.000000,0.000000,,
with_repeater,186.0,120.0,1800.0,77,0,3,0,7,0,7,0.000000,0.000000,,
blackout_only,186.0,120.0,1800.0,78,0,3,0,7,0,7,0.000000,0.000000,,
with_repeater,186.0,120.0,1800.0,78,0,3,0,7,0,7,0.000000,0.000000,,
blackout_only,186.0,120.0,1800.0,79,0,3,0,7,0,7,0.000000,0.000000,,
with_repeater,186.0,120.0,1800.0,79,0,3,0,7,0,7,0.000000,0.000000,,
blackout_only,186.0,120.0,1800.0,80,0,3,0,7,0,7,0.000000,0.000000,,
with_repeater,186.0,120.0,1800.0,80,0,3,0,7,0,7,0.000000,0.000000,,
blackout_only,186.0,120.0,1800.0,81,0,3,0,7,0,7,0.000000,0.000000,,
with_repeater,186.0,120.0,1800.0,81,0,3,0,7,0,7,0.000000,0.000000,,
blackout_only,186.0,120.0,1800.0,82,0,3,0,7,0,7,0.000000,0.000000,,
with_repeater,186.0,120.0,1800.0,82,0,3,0,7,0,7,0.000000,0.000000,,
blackout_only,186.0,120.0,1800.0,83,0,3,0,7,0,7,0.000000,0.000000,,
with_repeater,186.0,120.0,1800.0,83,0,3,0,7,0,7,0.000000,0.000000,,
blackout_only,186.0,120.0,1800.0,84,0,3,0,7,0,7,0.000000,0.000000,,
with_repeater,186.0,120.0,1800.0,84,0,3,0,7,0,7,0.000000,0.000000,,
blackout_only,186.0,120.0,1800.0,85,0,3,0,7,0,7,0.000000,0.000000,,
with_repeater,186.0,120.0,1800.0,85,0,3,0,7,0,7,0.000000,0.000000,,
blackout_only,186.0,120.0,1800.0,86,0,3,0,7,0,7,0.000000,0.000000,,
with_repeater,186.0,120.0,1800.0,86,0,3,0,7,0,7,0.000000,0.000000,,
blackout_only,186.0,120.0,1800.0,87,0,3,0,7,0,7,0.000000,0.000000,,
with_repeater,186.0,120.0,1800.0,87,0,3,0,7,0,7,0.000000,0.000000,,
blackout_only,186.0,120.0,1800.0,88,0,3,0,7,0,7,0.000000,0.000000,,
with_repeater,186.0,120.0,1800.0,88,0,3,0,7,0,7,0.000000,0.000000,,
blackout_only,186.0,120.0,1800.0,89,0,3,0,7,0,7,0.000000,0.000000,,
with_repeater,186.0,120.0,1800.0,89,0,3,0,7,0,7,0.000000,0.000000,,
blackout_only,186.0,240.0,300.0,40,0,2,0,1,0,8,0.000000,0.000000,,
with_repeater,186.0,240.0,300.0,40,0,2,0,1,0,8,0.000000,0.000000,,
blackout_only,186.0,240.0,300.0,41,0,2,0,1,0,8,0.000000,0.000000,,
with_repeater,186.0,240.0,300.0,41,0,2,0,1,0,8,0.000000,0.000000,,
blackout_only,186.0,240.0,300.0,42,0,2,0,1,0,8,0.000000,0.000000,,
with_repeater,186.0,240.0,300.0,42,0,2,0,1,0,8,0.000000,0.000000,,
blackout_only,186.0,240.0,300.0,43,0,2,0,1,0,8,0.000000,0.000000,,
with_repeater,186.0,240.0,300.0,43,0,2,0,1,0,8,0.000000,0.000000,,
blackout_only,186.0,240.0,300.0,44,0,2,0,1,0,8,0.000000,0.000000,,
with_repeater,186.0,240.0,300.0,44,0,2,0,1,0,8,0.000000,0.000000,,
