scenario,mars_base_latency_s,global_timeout_s,blackout_duration_s,seed,global_pre_success,global_pre_total,global_during_success,global_during_total,global_post_success,global_post_total,global_during_rate,global_post_rate,first_success_after_blackout_s,avg_global_latency_s
blackout_only,186.0,120.0,300.0,40,0,3,0,1,0,13,0.000000,0.000000,,
with_repeater,186.0,120.0,300.0,40,0,3,0,1,0,13,0.000000,0.000000,,
blackout_only,186.0,120.0,300.0,41,0,3,0,1,0,13,0.000000,0.000000,,
with_repeater,186.0,120.0,300.0,41,0,3,0,1,0,13,0.000000,0.000000,,
blackout_only,186.0,120.0,300.0,42,0,3,0,1,0,13,0.000000,0.000000,,
with_repeater,186.0,120.0,300.0,42,0,3,0,1,0,13,0.000000,0.000000,,
blackout_only,186.0,120.0,300.0,43,0,3,0,1,0,13,0.000000,0.000000,,
with_repeater,186.0,120.0,300.0,43,0,3,0,1,0,13,0.000000,0.000000,,
blackout_only,186.0,120.0,300.0,44,0,3,0,1,0,13,0.000000,0.000000,,
with_repeater,186.0,120.0,300.0,44,0,3,0,1,0,13,0.000000,0.000000,,
blackout_only,186.0,120.0,300.0,45,0,3,0,1,0,13,0.000000,0.000000,,
with_repeater,186.0,120.0,300.0,45,0,3,0,1,0,13,0.000000,0.000000,,
blackout_only,186.0,120.0,300.0,46,0,3,0,1,0,13,0.000000,0.000000,,
with_repeater,186.0,120.0,300.0,46,0,3,0,1,0,13,0.000000,0.000000,,
blackout_only,186.0,120.0,300.0,47,0,3,0,1,0,13,0.000000,0.000000,,
with_repeater,186.0,120.0,300.0,47,0,3,0,1,0,13,0.000000,0.000000,,
blackout_only,186.0,120.0,300.0,48,0,3,0,1,0,13,0.000000,0.000000,,
with_repeater,186.0,120.0,300.0,48,0,3,0,1,0,13,0.000000,0.000000,,
blackout_only,186.0,120.0,300.0,49,0,3,0,1,0,13,0.000000,0.000000,,
with_repeater,186.0,120.0,300.0,49,0,3,0,1,0,13,0.000000,0.000000,,
blackout_only,186.0,120.0,300.0,50,0,3,0,1,0,13,0.000000,0.000000,,
with_repeater,186.0,120.0,300.0,50,0,3,0,1,0,13,0.000000,0.000000,,
blackout_only,186.0,120.0,300.0,51,0,3,0,1,0,13,0.000000,0.000000,,
with_repeater,186.0,120.0,300.0,51,0,3,0,1,0,13,0.000000,0.000000,,
blackout_only,186.0,120.0,300.0,52,0,3,0,1,0,13,0.000000,0.000000,,
with_repeater,186.0,120.0,300.0,52,0,3,0,1,0,13,0.000000,0.000000,,
blackout_only,186.0,120.0,300.0,53,0,3,0,1,0,13,0.000000,0.000000,,
with_repeater,186.0,120.0,300.0,53,0,3,0,1,0,13,0.000000,0.000000,,
blackout_only,186.0,120.0,300.0,54,0,3,0,1,0,13,0.000000,0.000000,,
with_repeater,186.0,120.0,300.0,54,0,3,0,1,0,13,0.000000,0.000000,,
blackout_only,186.0,120.0,300.0,55,0,3,0,1,0,13,0.000000,0.000000,,
with_repeater,186.0,120.0,300.0,55,0,3,0,1,0,13,0.000000,0.000000,,
blackout_only,186.0,120.0,300.0,56,0,3,0,1,0,13,0.000000,0.000000,,
with_repeater,186.0,120.0,300.0,56,0,3,0,1,0,13,0.000000,0.000000,,
blackout_only,186.0,120.0,300.0,57,0,3,0,1,0,13,0.000000,0.000000,,
with_repeater,186.0,120.0,300.0,57,0,3,0,1,0,13,0.000000,0.000000,,
blackout_only,186.0,120.0,300.0,58,0,3,0,1,0,13,0.000000,0.000000,,
with_repeater,186.0,120.0,300.0,58,0,3,0,1,0,13,0.000000,0.000000,,
blackout_only,186.0,120.0,300.0,59,0,3,0,1,0,13,0.000000,0.000000,,
with_repeater,186.0,120.0,300.0,59,0,3,0,1,0,13,0.000000,0.000000,,
blackout_only,186.0,120.0,300.0,60,0,3,0,1,0,13,0.000000,0.000000,,
with_repeater,186.0,120.0,300.0,60,0,3,0,1,0,13,0.000000,0.000000,,
blackout_only,186.0,120.0,300.0,61,0,3,0,1,0,13,0.000000,0.000000,,
with_repeater,186.0,120.0,300.0,61,0,3,0,1,0,13,0.000000,0.000000,,
blackout_only,186.0,120.0,300.0,62,0,3,0,1,0,13,0.000000,0.000000,,
with_repeater,186.0,120.0,300.0,62,0,3,0,1,0,13,0.000000,0.000000,,
blackout_only,186.0,120.0,300.0,63,0,3,0,1,0,13,0.000000,0.000000,,
with_repeater,186.0,120.0,300.0,63,0,3,0,1,0,13,0.000000,0.000000,,
blackout_only,186.0,120.0,300.0,64,0,3,0,1,0,13,0.000000,0.000000,,
with_repeater,186.0,120.0,300.0,64,0,3,0,1,0,13,0.000000,0.000000,,
blackout_only,186.0,120.0,300.0,65,0,3,0,1,0,13,0.000000,0.000000,,
with_repeater,186.0,120.0,300.0,65,0,3,0,1,0,13,0.000000,0.000000,,
blackout_only,186.0,120.0,300.0,66,0,3,0,1,0,13,0.000000,0.000000,,
