scenario,mars_base_latency_s,blackout_start_s,blackout_duration_s,sim_end_s,reconcile_interval_s,global_timeout_s,global_max_rounds,seed,earth_success,earth_total,mars_success,mars_total,global_pre_success,global_pre_total,global_during_success,global_during_total,global_post_success,global_post_total,first_success_after_blackout_s,avg_global_latency_s,earth_local_avg_latency_s,earth_local_p95_latency_s,mars_local_avg_latency_s,mars_local_p95_latency_s,global_phase1_responses_earth,global_phase1_responses_leo,global_phase1_responses_moon,global_phase1_responses_mars,global_phase2_responses_earth,global_phase2_responses_leo,global_phase2_responses_moon,global_phase2_responses_mars,network_src_sent_earth,network_src_sent_leo,network_src_sent_moon,network_src_sent_mars,network_src_avg_oneway_s_earth,network_src_avg_oneway_s_leo,network_src_avg_oneway_s_moon,network_src_avg_oneway_s_mars
blackout_only,186.0,600.0,900.0,4000.0,120.0,500.0,1,44,1777,1777,1980,1980,1,2,0,1,4,4,589.459428,367.218158,0.251223,0.264143,0.021078,0.022727,40,8,8,15,25,5,5,15,35735,13,13,23796,0.243166,0.021096,1.279900,0.237199
with_repeater,186.0,600.0,900.0,4000.0,120.0,500.0,1,44,1777,1777,1980,1980,2,2,1,1,5,5,480.449794,388.326699,0.251111,0.264318,0.021072,0.022685,40,8,8,24,40,8,8,21,35780,16,16,23805,0.303303,0.020858,1.278302,0.373525
blackout_only,186.0,600.0,1800.0,4000.0,120.0,500.0,1,40,1778,1778,1980,1980,1,2,0,3,2,2,934.184507,367.232533,0.250832,0.264165,0.021070,0.022685,40,8,8,9,15,3,3,6,35725,11,11,23778,0.149343,0.019472,1.277034,0.121145
with_repeater,186.0,600.0,1800.0,4000.0,120.0,500.0,1,40,1777,1777,1980,1980,2,2,3,3,2,2,209.547783,409.416374,0.250879,0.263374,0.021061,0.022633,40,8,8,21,35,7,7,21,35781,15,15,23805,0.315872,0.019130,1.279932,0.370562
blackout_only,186.0,600.0,1800.0,4000.0,120.0,500.0,1,41,1778,1778,1980,1980,1,2,0,3,2,2,937.488675,369.213327,0.250704,0.263757,0.021066,0.022574,40,8,8,9,15,3,3,6,35725,11,11,23778,0.148985,0.020553,1.278747,0.120949
with_repeater,186.0,600.0,1800.0,4000.0,120.0,500.0,1,41,1777,1777,1980,1980,2,2,3,3,2,2,249.229801,415.633909,0.250996,0.263898,0.021055,0.022595,40,8,8,21,35,7,7,21,35765,15,15,23805,0.316516,0.019914,1.280253,0.372110
blackout_only,186.0,600.0,1800.0,4000.0,120.0,500.0,1,42,1777,1777,1980,1980,1,2,0,3,2,2,938.448900,367.594895,0.250964,0.263810,0.021079,0.022689,40,8,8,9,15,3,3,6,35711,11,11,23778,0.149610,0.021835,1.282063,0.120083
with_repeater,186.0,600.0,1800.0,4000.0,120.0,500.0,1,42,1777,1777,1980,1980,2,2,3,3,2,2,250.286938,414.629781,0.251080,0.264079,0.021054,0.022715,40,8,8,21,35,7,7,21,35765,15,15,23805,0.317038,0.019923,1.280790,0.372013
blackout_only,186.0,600.0,1800.0,4000.0,120.0,500.0,1,43,1778,1778,1980,1980,1,2,0,3,2,2,941.788685,370.652109,0.250799,0.263381,0.021066,0.022664,40,8,8,9,15,3,3,6,35725,11,11,23778,0.149455,0.018966,1.282287,0.120624
with_repeater,186.0,600.0,1800.0,4000.0,120.0,500.0,1,43,1777,1777,1980,1980,2,2,3,3,2,2,225.837301,410.777809,0.251180,0.263954,0.021096,0.022675,40,8,8,21,35,7,7,21,35765,15,15,23805,0.316748,0.019747,1.278567,0.372159
blackout_only,186.0,600.0,1800.0,4000.0,120.0,500.0,1,44,1777,1777,1980,1980,1,2,0,3,2,2,934.950778,367.786339,0.251303,0.263481,0.021081,0.022701,40,8,8,9,15,3,3,6,35705,11,11,23778,0.149583,0.019388,1.280746,0.120534
with_repeater,186.0,600.0,1800.0,4000.0,120.0,500.0,1,44,1777,1777,1980,1980,2,2,3,3,2,2,225.491166,412.408467,0.251180,0.264611,0.021062,0.022723,40,8,8,21,35,7,7,21,35765,15,15,23805,0.316392,0.020210,1.279726,0.370476
blackout_only,750.0,600.0,300.0,4000.0,120.0,500.0,1,40,1777,1777,1980,1980,0,1,0,1,0,4,,,0.250849,0.263385,0.021064,0.022654,35,7,7,9,0,0,0,0,35665,7,7,23775,0.371354,0.021093,1.280536,0.287851
with_repeater,750.0,600.0,300.0,4000.0,120.0,500.0,1,40,1778,1778,1980,1980,0,1,1,1,0,4,197.703100,477.693100,0.250802,0.263600,0.021068,0.022653,35,7,7,15,5,1,1,3,35680,8,8,23781,0.454124,0.019187,1.282435,0.441836
blackout_only,750.0,600.0,300.0,4000.0,120.0,500.0,1,41,1777,1777,1980,1980,0,1,0,1,0,4,,,0.250956,0.264016,0.021079,0.022684,35,7,7,9,0,0,0,0,35651,7,7,23775,0.370820,0.019908,1.278106,0.287446
with_repeater,750.0,600.0,300.0,4000.0,120.0,500.0,1,41,1778,1778,1980,1980,0,1,1,1,0,4,191.001802,470.991802,0.250756,0.263939,0.021051,0.022610,35,7,7,15,5,1,1,3,35680,8,8,23781,0.454514,0.020620,1.281126,0.442820
blackout_only,750.0,600.0,300.0,4000.0,120.0,500.0,1,42,1777,1777,1980,1980,0,1,0,1,0,4,,,0.251162,0.263554,0.021101,0.022630,35,7,7,9,0,0,0,0,35645,7,7,23775,0.370839,0.020866,1.278602,0.287385
with_repeater,750.0,600.0,300.0,4000.0,120.0,500.0,1,42,1777,1777,1980,1980,0,1,1,1,0,4,188.944304,468.934304,0.251024,0.263758,0.021094,0.022649,35,7,7,15,5,1,1,3,35660,8,8,23781,0.454097,0.022002,1.279115,0.442916
