scenario,global_q2_thresh,earth_q1,earth_q2,crash_count,n_seeds,earth_local_rate_mean,earth_local_rate_ci95,global_during_rate_mean,global_during_rate_ci95,global_post_rate_mean,global_post_rate_ci95,recovery_lag_s_mean,recovery_lag_s_ci95,avg_global_latency_s_mean,avg_global_latency_s_ci95,avg_earth_latency_s_mean,avg_earth_latency_s_ci95
strict_std_0crash,strict,4,2,0,50,1.0,0.0,1.0,0.0,1.0,0.0,93.10973613900694,0.00994407544206393,0.18297351128981615,0.00037671623670476406,0.2509942405808825,4.404544224868145e-05
strict_std_1crash,strict,4,2,1,50,1.0,0.0,0.0,0.0,0.0,0.0,,,0.18356864815955784,0.0007187863930252291,0.25098874821535594,4.7784628508885326e-05
relax4_std_0crash,4,4,2,0,50,1.0,0.0,1.0,0.0,1.0,0.0,94.26520444712229,0.009943482834995885,0.25088206300932475,0.0003898845633877011,0.25100437702823797,4.173898185362721e-05
relax4_std_1crash,4,4,2,1,50,1.0,0.0,1.0,0.0,1.0,0.0,94.26280794850416,0.00969952729392038,0.25081156155985135,0.0004318260762036287,0.2509884711869786,4.6070354240704645e-05
relax3_std_2crash,3,4,2,2,50,0.605233918128655,5.730994152046947e-05,1.0,0.0,1.0,0.0,94.64042355517067,0.008568342876538458,0.28772542209042706,0.0003553395870626835,0.2509848488800197,0.00010138234153284176
relax3_maj_2crash,3,3,3,2,50,1.0,0.0,1.0,0.0,1.0,0.0,94.63383952455253,0.009176625744308765,0.28753739491506114,0.00039450437225095,0.2878637880375475,6.396556483223109e-05
