scenario,global_q2_thresh,earth_q1,earth_q2,crash_count,seed,earth_local_rate,global_pre_rate,global_during_rate,global_post_rate,global_transition_success,global_transition_total,phase_timeout_s,pre_window_s,post_window_s,temporally_scaled,recovery_lag_s,avg_global_latency_s,avg_earth_latency_s
strict_std_0crash,strict,4,2,0,40,1.0,1.0,1.0,1.0,0,0,500.0,930.0,2500.0,1,93.08195124242457,0.18138911771772215,0.25079869319832954
strict_std_0crash,strict,4,2,0,41,1.0,1.0,1.0,1.0,0,0,500.0,930.0,2500.0,1,93.11120170320078,0.18279937659168752,0.2510002522627673
strict_std_0crash,strict,4,2,0,42,1.0,1.0,1.0,1.0,0,0,500.0,930.0,2500.0,1,93.08270219345582,0.18168273359817164,0.25091440839148776
strict_std_0crash,strict,4,2,0,43,1.0,1.0,1.0,1.0,0,0,500.0,930.0,2500.0,1,93.12094379284281,0.18305969917175732,0.25100077154416217
strict_std_0crash,strict,4,2,0,44,1.0,1.0,1.0,1.0,0,0,500.0,930.0,2500.0,1,93.05614657761544,0.1824867027577462,0.25091307190388545
strict_std_0crash,strict,4,2,0,45,1.0,1.0,1.0,1.0,0,0,500.0,930.0,2500.0,1,93.13431984011913,0.1848655031117541,0.2512079654597474
strict_std_0crash,strict,4,2,0,46,1.0,1.0,1.0,1.0,0,0,500.0,930.0,2500.0,1,93.13949937512916,0.18516338598903384,0.2508132188274044
strict_std_0crash,strict,4,2,0,47,1.0,1.0,1.0,1.0,0,0,500.0,930.0,2500.0,1,93.15906501119639,0.18423347337951207,0.2510048785011029
strict_std_0crash,strict,4,2,0,48,1.0,1.0,1.0,1.0,0,0,500.0,930.0,2500.0,1,93.09964643872695,0.18209652924956315,0.25110124132218936
strict_std_0crash,strict,4,2,0,49,1.0,1.0,1.0,1.0,0,0,500.0,930.0,2500.0,1,93.11500388135323,0.18198503917828895,0.25077397845920707
strict_std_0crash,strict,4,2,0,50,1.0,1.0,1.0,1.0,0,0,500.0,930.0,2500.0,1,93.11879411465361,0.18271688688182947,0.25119366395779513
