offset,polarity,k,earth_max_rounds,leo_max_rounds,jitter_scale,seed,leo_enabled,earth_start,tail,livelock_min_preempted_rounds,outcome,decided_by,decided_ballot,rounds_overlapped,preempted_earth_rounds,preempted_leo_rounds,earth_success,earth_rounds,earth_p1_nacks,earth_p2_nacks,earth_late_nacks,earth_commit_latency_s,leo_success,leo_p1_quorums,leo_p2_failures,leo_p1_nacks,leo_p2_nacks,leo_late_nacks
-10.0,leo_high,5,1,8,1.0,40,1,20.0,45.0,3,leo_blocked,,,0,1,0,0,1,3,4,3,,0,8,8,0,0,0
-10.0,leo_high,5,1,8,1.0,41,1,20.0,45.0,3,leo_blocked,,,0,1,0,0,1,3,4,3,,0,8,8,0,0,0
-10.0,leo_high,5,1,8,1.0,42,1,20.0,45.0,3,leo_blocked,,,0,1,0,0,1,3,4,3,,0,8,8,0,0,0
-10.0,leo_high,5,1,8,1.0,43,1,20.0,45.0,3,leo_blocked,,,0,1,0,0,1,3,4,3,,0,8,8,0,0,0
-10.0,leo_high,5,1,8,1.0,44,1,20.0,45.0,3,leo_blocked,,,0,1,0,0,1,3,4,3,,0,8,8,0,0,0
-10.0,leo_high,5,1,8,1.0,45,1,20.0,45.0,3,leo_blocked,,,0,1,0,0,1,3,4,3,,0,8,8,0,0,0
-10.0,leo_high,5,1,8,1.0,46,1,20.0,45.0,3,leo_blocked,,,0,1,0,0,1,3,4,3,,0,8,8,0,0,0
-10.0,leo_high,5,1,8,1.0,47,1,20.0,45.0,3,leo_blocked,,,0,1,0,0,1,3,4,3,,0,8,8,0,0,0
-10.0,leo_high,5,1,8,1.0,48,1,20.0,45.0,3,leo_blocked,,,0,1,0,0,1,3,4,3,,0,8,8,0,0,0
-10.0,leo_high,5,1,8,1.0,49,1,20.0,45.0,3,leo_blocked,,,0,1,0,0,1,3,4,3,,0,8,8,0,0,0
-10.0,leo_high,5,1,8,1.0,50,1,20.0,45.0,3,leo_blocked,,,0,1,0,0,1,3,4,3,,0,8,8,0,0,0
-10.0,leo_high,5,1,8,1.0,51,1,20.0,45.0,3,leo_blocked,,,0,1,0,0,1,3,4,3,,0,8,8,0,0,0
-10.0,leo_high,5,1,8,1.0,52,1,20.0,45.0,3,leo_blocked,,,0,1,0,0,1,3,4,3,,0,8,8,0,0,0
