scenario,mars_base_latency_s,blackout_duration_s,n_seeds,earth_success_rate_mean,earth_success_rate_ci95,mars_success_rate_mean,mars_success_rate_ci95,global_pre_rate_mean,global_pre_rate_ci95,global_during_rate_mean,global_during_rate_ci95,global_post_rate_mean,global_post_rate_ci95,first_success_after_blackout_s_mean,first_success_after_blackout_s_ci95,first_success_after_blackout_s_n,avg_global_latency_s_mean,avg_global_latency_s_ci95,avg_global_latency_s_n,earth_local_avg_latency_s_mean,earth_local_avg_latency_s_ci95,earth_local_p95_latency_s_mean,earth_local_p95_latency_s_ci95,mars_local_avg_latency_s_mean,mars_local_avg_latency_s_ci95,mars_local_p95_latency_s_mean,mars_local_p95_latency_s_ci95,global_phase1_earth_share_mean,global_phase1_earth_share_ci95,global_phase2_earth_share_mean,global_phase2_earth_share_ci95,network_src_sent_earth_share_mean,network_src_sent_earth_share_ci95
blackout_only,186.0,300.0,50,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,736.006456,1.287859,50,368.606191,0.313377,50,0.251026,0.000042,0.263610,0.000073,0.021063,0.000006,0.022649,0.000014,0.535714,0.000000,0.522388,0.000000,0.600189,0.000000
blackout_only,186.0,900.0,50,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,756.453267,1.215675,50,368.691742,0.263179,50,0.250991,0.000052,0.263660,0.000082,0.021062,0.000006,0.022642,0.000015,0.555556,0.000000,0.555556,0.000000,0.600198,0.000000
blackout_only,186.0,1800.0,50,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,475.274268,1.091600,50,368.431344,0.338424,50,0.250989,0.000043,0.263638,0.000088,0.021064,0.000006,0.022643,0.000012,0.576923,0.000000,0.568182,0.000000,0.600209,0.000002
blackout_only,750.0,300.0,50,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,2676.187946,1.498582,50,1497.059315,0.499527,50,0.251013,0.000038,0.263683,0.000073,0.021070,0.000004,0.022659,0.000008,0.568182,0.000000,0.625000,0.000000,0.599604,0.000004
blackout_only,750.0,900.0,50,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,2076.187946,1.498582,50,1496.962882,0.384459,50,0.251016,0.000035,0.263693,0.000068,0.021070,0.000003,0.022658,0.000008,0.555556,0.000000,0.588235,0.000000,0.599718,0.000009
blackout_only,750.0,1800.0,50,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,3169.628588,1.378703,50,1496.536196,0.459568,50,0.251006,0.000035,0.263707,0.000069,0.021068,0.000004,0.022657,0.000008,0.588235,0.000000,0.625000,0.000000,0.599645,0.000007
blackout_only,1342.0,300.0,50,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,4747.049751,1.372950,50,2680.679917,0.457650,50,0.251011,0.000020,0.263744,0.000045,0.021067,0.000003,0.022651,0.000006,0.568182,0.000000,0.625000,0.000000,0.599538,0.000001
blackout_only,1342.0,900.0,50,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,4147.049751,1.372950,50,2680.679917,0.457650,50,0.251009,0.000020,0.263735,0.000046,0.021067,0.000003,0.022652,0.000006,0.568182,0.000000,0.555556,0.000000,0.599524,0.000005
blackout_only,1342.0,1800.0,50,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,3247.049751,1.372950,50,2680.786317,0.393186,50,0.251012,0.000020,0.263743,0.000047,0.021067,0.000003,0.022651,0.000006,0.555556,0.000000,0.588235,0.000000,0.599565,0.000003
with_repeater,186.0,300.0,50,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,217.256819,2.868252,50,381.439489,0.468188,50,0.250976,0.000053,0.263705,0.000083,0.021070,0.000007,0.022658,0.000014,0.517241,0.000000,0.500000,0.000000,0.600208,0.000001
