scenario,mars_base_latency_s,blackout_start_s,blackout_duration_s,sim_end_s,reconcile_interval_s,global_timeout_s,global_max_rounds,seed,earth_success,earth_total,mars_success,mars_total,global_pre_success,global_pre_total,global_during_success,global_during_total,global_post_success,global_post_total,first_success_after_blackout_s,avg_global_latency_s,earth_local_avg_latency_s,earth_local_p95_latency_s,mars_local_avg_latency_s,mars_local_p95_latency_s,global_phase1_responses_earth,global_phase1_responses_leo,global_phase1_responses_moon,global_phase1_responses_mars,global_phase2_responses_earth,global_phase2_responses_leo,global_phase2_responses_moon,global_phase2_responses_mars,network_src_sent_earth,network_src_sent_leo,network_src_sent_moon,network_src_sent_mars,network_src_avg_oneway_s_earth,network_src_avg_oneway_s_leo,network_src_avg_oneway_s_moon,network_src_avg_oneway_s_mars
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,40,1777,1777,1980,1980,5,5,3,3,26,26,61.671637,0.182681,0.250849,0.263639,0.021063,0.022686,137,19,17,41,170,34,34,81,36579,68,68,23934,0.942646,0.020361,1.279197,1.260902
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,40,1778,1778,1980,1980,5,5,3,3,26,26,61.659557,0.180260,0.250691,0.263263,0.021071,0.022709,122,28,19,49,170,34,34,93,36580,68,68,23952,1.061932,0.019617,1.281180,1.473948
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,41,1777,1777,1980,1980,5,5,3,3,26,26,61.658164,0.181673,0.251062,0.263705,0.021043,0.022563,125,24,21,36,170,34,34,81,36560,68,68,23934,0.943419,0.019604,1.279895,1.264982
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,41,1777,1777,1980,1980,5,5,3,3,26,26,61.638957,0.182527,0.250940,0.263845,0.021058,0.022608,118,25,22,49,170,34,34,93,36569,68,68,23952,1.059753,0.020132,1.280020,1.473666
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,42,1777,1777,1980,1980,5,5,3,3,26,26,61.644914,0.183946,0.250956,0.263897,0.021050,0.022589,130,23,24,41,170,34,34,81,36567,68,68,23934,0.944448,0.020173,1.280241,1.261051
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,42,1777,1777,1980,1980,5,5,3,3,26,26,61.630061,0.182909,0.251160,0.263669,0.021054,0.022693,128,27,23,47,170,34,34,93,36560,68,68,23952,1.064466,0.019689,1.279756,1.473644
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,43,1778,1778,1980,1980,5,5,3,3,26,26,61.663944,0.183625,0.250773,0.263835,0.021049,0.022578,126,20,25,40,170,34,34,81,36580,68,68,23934,0.943319,0.019726,1.279242,1.263201
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,43,1777,1777,1980,1980,5,5,3,3,26,26,61.666843,0.182905,0.250918,0.263388,0.021077,0.022690,126,27,17,47,170,34,34,93,36570,68,68,23952,1.059935,0.020189,1.279650,1.475068
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,44,1777,1777,1980,1980,5,5,3,3,26,26,61.638188,0.182916,0.250872,0.263753,0.021101,0.022664,120,26,19,43,170,34,34,81,36576,68,68,23934,0.941583,0.020185,1.279796,1.259713
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,44,1777,1777,1980,1980,5,5,3,3,26,26,61.638726,0.183399,0.251022,0.263875,0.021105,0.022687,121,21,18,47,170,34,34,93,36560,68,68,23952,1.057333,0.020196,1.279019,1.475137
