scenario,mars_base_latency_s,blackout_start_s,blackout_duration_s,sim_end_s,reconcile_interval_s,global_timeout_s,global_max_rounds,seed,earth_success,earth_total,mars_success,mars_total,global_pre_success,global_pre_total,global_during_success,global_during_total,global_post_success,global_post_total,first_success_after_blackout_s,avg_global_latency_s,earth_local_avg_latency_s,earth_local_p95_latency_s,mars_local_avg_latency_s,mars_local_p95_latency_s,global_phase1_responses_earth,global_phase1_responses_leo,global_phase1_responses_moon,global_phase1_responses_mars,global_phase2_responses_earth,global_phase2_responses_leo,global_phase2_responses_moon,global_phase2_responses_mars,network_src_sent_earth,network_src_sent_leo,network_src_sent_moon,network_src_sent_mars,network_src_avg_oneway_s_earth,network_src_avg_oneway_s_leo,network_src_avg_oneway_s_moon,network_src_avg_oneway_s_mars
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,45,1777,1777,1980,1980,5,5,3,3,26,26,61.617321,0.182864,0.250848,0.263320,0.021067,0.022617,116,24,24,37,170,34,34,81,36579,68,68,23934,0.944212,0.020333,1.281428,1.263395
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,45,1777,1777,1980,1980,5,5,3,3,26,26,61.634831,0.182568,0.251158,0.264021,0.021059,0.022627,131,29,20,53,170,34,34,93,36560,68,68,23952,1.060165,0.020094,1.279201,1.475154
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,46,1777,1777,1980,1980,5,5,3,3,26,26,61.634363,0.181100,0.250856,0.262928,0.021077,0.022621,126,25,18,36,170,34,34,81,36579,68,68,23934,0.942219,0.020005,1.279482,1.263535
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,46,1777,1777,1980,1980,5,5,3,3,26,26,61.644729,0.184278,0.250946,0.263018,0.021040,0.022619,130,26,22,43,170,34,34,93,36568,68,68,23952,1.060673,0.019900,1.280087,1.474237
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,47,1777,1777,1980,1980,5,5,3,3,26,26,61.676998,0.184279,0.251607,0.264662,0.021104,0.022630,126,29,22,41,170,34,34,81,36560,68,68,23934,0.942712,0.019639,1.280272,1.261234
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,47,1778,1778,1980,1980,5,5,3,3,26,26,61.652014,0.181754,0.250690,0.263173,0.021082,0.022606,130,23,23,49,170,34,34,93,36580,68,68,23952,1.059945,0.019775,1.280608,1.473724
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,48,1777,1777,1980,1980,5,5,3,3,26,26,61.586468,0.182311,0.251202,0.263973,0.021084,0.022636,122,21,21,40,170,34,34,81,36560,68,68,23934,0.943915,0.019965,1.280271,1.261351
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,48,1777,1777,1980,1980,5,5,3,3,26,26,61.629406,0.182485,0.251169,0.263883,0.021054,0.022649,132,29,18,58,170,34,34,93,36560,68,68,23952,1.059850,0.019629,1.279554,1.473207
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,49,1777,1777,1980,1980,5,5,3,3,26,26,61.682517,0.183300,0.251090,0.263526,0.021063,0.022652,119,26,24,31,170,34,34,81,36560,68,68,23934,0.942972,0.019903,1.281324,1.262921
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,49,1777,1777,1980,1980,5,5,3,3,26,26,61.652028,0.180947,0.250852,0.263574,0.021077,0.022609,125,26,17,51,170,34,34,93,36580,68,68,23952,1.059440,0.020456,1.279812,1.474839
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,50,1777,1777,1980,1980,5,5,3,3,26,26,61.657237,0.184365,0.251149,0.263952,0.021066,0.022660,125,25,20,39,170,34,34,81,36560,68,68,23934,0.943400,0.020449,1.279670,1.260863
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,50,1777,1777,1980,1980,5,5,3,3,26,26,61.640723,0.183049,0.251184,0.263531,0.021079,0.022728,131,27,23,51,170,34,34,93,36560,68,68,23952,1.062191,0.020227,1.280012,1.474051
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,51,1777,1777,1980,1980,5,5,3,3,26,26,61.645321,0.182718,0.251194,0.263937,0.021104,0.022716,119,27,25,32,170,34,34,81,36560,68,68,23934,0.942708,0.020367,1.279752,1.265984
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,51,1777,1777,1980,1980,5,5,3,3,26,26,61.673346,0.184363,0.251230,0.264424,0.021097,0.022714,121,27,20,58,170,34,34,93,36560,68,68,23952,1.061650,0.019999,1.280232,1.475672
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,52,1778,1778,1980,1980,5,5,3,3,26,26,61.714564,0.183778,0.250688,0.262576,0.021067,0.022699,122,26,21,46,170,34,34,81,36580,68,68,23934,0.942744,0.020679,1.280638,1.261166
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,52,1777,1777,1980,1980,5,5,3,3,26,26,61.668471,0.184983,0.251156,0.263315,0.021027,0.022652,132,24,24,57,170,34,34,93,36560,68,68,23952,1.062662,0.019993,1.281393,1.473471
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,53,1777,1777,1980,1980,5,5,3,3,26,26,61.666454,0.184036,0.250933,0.264320,0.021073,0.022660,127,28,20,49,170,34,34,81,36570,68,68,23934,0.942873,0.020127,1.280550,1.262594
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,53,1777,1777,1980,1980,5,5,3,3,26,26,61.637037,0.181103,0.250970,0.264097,0.021078,0.022680,116,23,19,46,170,34,34,93,36566,68,68,23952,1.059672,0.020101,1.280173,1.479200
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,54,1777,1777,1980,1980,5,5,3,3,26,26,61.667800,0.184611,0.250853,0.263304,0.021085,0.022708,123,25,18,31,170,34,34,81,36579,68,68,23934,0.944738,0.020234,1.281122,1.263507
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,54,1777,1777,1980,1980,5,5,3,3,26,26,61.656313,0.183365,0.251049,0.263842,0.021061,0.022674,124,23,24,40,170,34,34,93,36560,68,68,23952,1.061923,0.020217,1.280179,1.479854
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,55,1778,1778,1980,1980,5,5,3,3,26,26,61.662322,0.184156,0.250840,0.263978,0.021049,0.022665,128,24,16,41,170,34,34,81,36580,68,68,23934,0.942590,0.020179,1.279965,1.261311
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,55,1777,1777,1980,1980,5,5,3,3,26,26,61.647483,0.182251,0.250912,0.263357,0.021016,0.022643,123,27,18,44,170,34,34,93,36570,68,68,23952,1.061725,0.020277,1.281292,1.475752
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,56,1777,1777,1980,1980,5,5,3,3,26,26,61.638568,0.181329,0.251183,0.264323,0.021093,0.022692,125,26,23,37,170,34,34,81,36560,68,68,23934,0.943597,0.020272,1.279241,1.261369
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,56,1777,1777,1980,1980,5,5,3,3,26,26,61.669239,0.183918,0.251112,0.264134,0.021060,0.022668,124,25,23,57,170,34,34,93,36560,68,68,23952,1.062322,0.020079,1.279483,1.477202
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,57,1777,1777,1980,1980,5,5,3,3,26,26,61.606700,0.180696,0.250951,0.263751,0.021059,0.022624,126,24,20,32,170,34,34,81,36568,68,68,23934,0.942543,0.018820,1.280165,1.265425
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,57,1777,1777,1980,1980,5,5,3,3,26,26,61.645815,0.181981,0.251175,0.263860,0.021039,0.022552,127,25,16,37,170,34,34,93,36560,68,68,23952,1.060338,0.020417,1.280219,1.474611
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,58,1777,1777,1980,1980,5,5,3,3,26,26,61.645667,0.183261,0.250964,0.264324,0.021076,0.022744,123,29,22,37,170,34,34,81,36566,68,68,23934,0.943998,0.020324,1.279599,1.266375
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,58,1777,1777,1980,1980,5,5,3,3,26,26,61.631817,0.184701,0.250995,0.263838,0.021078,0.022718,115,27,19,40,170,34,34,93,36560,68,68,23952,1.062922,0.020589,1.278807,1.476639
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,59,1777,1777,1980,1980,5,5,3,3,26,26,61.630242,0.181886,0.250891,0.263520,0.021062,0.022639,131,27,19,35,170,34,34,81,36576,68,68,23934,0.942687,0.019980,1.279867,1.261843
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,59,1777,1777,1980,1980,5,5,3,3,26,26,61.610966,0.182189,0.250942,0.263662,0.021071,0.022661,125,30,20,35,170,34,34,93,36569,68,68,23952,1.061145,0.020152,1.280773,1.474365
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,60,1777,1777,1980,1980,5,5,3,3,26,26,61.687298,0.183680,0.250978,0.263696,0.021040,0.022652,127,24,17,39,170,34,34,81,36566,68,68,23934,0.940943,0.020581,1.280125,1.262593
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,60,1777,1777,1980,1980,5,5,3,3,26,26,61.640640,0.181036,0.251251,0.263620,0.021068,0.022652,117,23,21,45,170,34,34,93,36560,68,68,23952,1.060174,0.019908,1.280609,1.471613
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,61,1778,1778,1980,1980,5,5,3,3,26,26,61.683404,0.184990,0.250744,0.263246,0.021074,0.022689,128,26,17,41,170,34,34,81,36580,68,68,23934,0.942276,0.020204,1.279856,1.264333
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,61,1777,1777,1980,1980,5,5,3,3,26,26,61.712687,0.185168,0.250975,0.263523,0.021022,0.022604,130,25,18,47,170,34,34,93,36566,68,68,23952,1.060105,0.020648,1.280299,1.475529
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,62,1778,1778,1980,1980,5,5,3,3,26,26,61.638860,0.182258,0.250789,0.263534,0.021098,0.022639,130,29,19,32,170,34,34,81,36580,68,68,23934,0.941454,0.019918,1.279979,1.266220
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,62,1777,1777,1980,1980,5,5,3,3,26,26,61.616999,0.182532,0.251021,0.263684,0.021074,0.022663,123,25,18,53,170,34,34,93,36560,68,68,23952,1.059855,0.019611,1.281400,1.479366
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,63,1777,1777,1980,1980,5,5,3,3,26,26,61.680068,0.184151,0.250953,0.263320,0.021055,0.022662,135,22,24,30,170,34,34,81,36568,68,68,23934,0.941715,0.020189,1.279773,1.265446
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,63,1778,1778,1980,1980,5,5,3,3,26,26,61.652198,0.184664,0.250832,0.263188,0.021047,0.022597,132,25,20,39,170,34,34,93,36580,68,68,23952,1.059531,0.020071,1.279183,1.475391
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,64,1777,1777,1980,1980,5,5,3,3,26,26,61.684226,0.184655,0.251462,0.264168,0.021081,0.022587,123,26,26,41,170,34,34,81,36560,68,68,23934,0.943974,0.019160,1.279725,1.262169
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,64,1777,1777,1980,1980,5,5,3,3,26,26,61.667887,0.184199,0.250848,0.263399,0.021060,0.022618,124,22,19,58,170,34,34,93,36580,68,68,23952,1.058649,0.019530,1.280714,1.476446
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,65,1777,1777,1980,1980,5,5,3,3,26,26,61.662567,0.183800,0.251027,0.263864,0.021059,0.022587,128,19,24,43,170,34,34,81,36560,68,68,23934,0.942566,0.019557,1.279575,1.261196
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,65,1777,1777,1980,1980,5,5,3,3,26,26,61.663040,0.182112,0.250963,0.263520,0.021068,0.022592,115,25,22,53,170,34,34,93,36566,68,68,23952,1.060702,0.020012,1.280765,1.475460
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,66,1777,1777,1980,1980,5,5,3,3,26,26,61.655606,0.183576,0.250914,0.263434,0.021068,0.022703,128,24,22,46,170,34,34,81,36570,68,68,23934,0.943395,0.019476,1.279822,1.265056
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,66,1778,1778,1980,1980,5,5,3,3,26,26,61.638078,0.185524,0.250783,0.262979,0.021063,0.022668,125,24,18,58,170,34,34,93,36580,68,68,23952,1.059521,0.019914,1.280266,1.472482
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,67,1777,1777,1980,1980,5,5,3,3,26,26,61.636622,0.183820,0.250890,0.263427,0.021043,0.022583,121,24,17,48,170,34,34,81,36576,68,68,23934,0.943437,0.019982,1.278808,1.263693
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,67,1777,1777,1980,1980,5,5,3,3,26,26,61.614215,0.181519,0.251024,0.263504,0.021078,0.022621,128,30,23,46,170,34,34,93,36560,68,68,23952,1.062335,0.020140,1.279888,1.475254
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,68,1778,1778,1980,1980,5,5,3,3,26,26,61.657926,0.184090,0.250666,0.263647,0.021050,0.022647,129,25,22,37,170,34,34,81,36580,68,68,23934,0.943446,0.019847,1.281243,1.262000
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,68,1777,1777,1980,1980,5,5,3,3,26,26,61.635490,0.182021,0.250951,0.263526,0.021037,0.022646,122,28,21,50,170,34,34,93,36567,68,68,23952,1.061194,0.020323,1.280909,1.478196
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,69,1778,1778,1980,1980,5,5,3,3,26,26,61.670676,0.182767,0.250794,0.263389,0.021090,0.022643,122,24,26,38,170,34,34,81,36580,68,68,23934,0.941980,0.020191,1.279530,1.263126
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,69,1777,1777,1980,1980,5,5,3,3,26,26,61.672925,0.185301,0.251036,0.263848,0.021065,0.022661,132,16,18,44,170,34,34,93,36560,68,68,23952,1.062060,0.020512,1.279456,1.475177
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,70,1777,1777,1980,1980,5,5,3,3,26,26,61.694549,0.183118,0.250952,0.264432,0.021033,0.022652,122,21,22,39,170,34,34,81,36568,68,68,23934,0.940396,0.019949,1.280843,1.261637
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,70,1777,1777,1980,1980,5,5,3,3,26,26,61.680958,0.184116,0.251006,0.263285,0.021038,0.022623,126,25,23,50,170,34,34,93,36560,68,68,23952,1.062026,0.020192,1.280702,1.474614
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,71,1778,1778,1980,1980,5,5,3,3,26,26,61.677816,0.182040,0.250787,0.263170,0.021097,0.022578,122,25,26,35,170,34,34,81,36580,68,68,23934,0.942205,0.019941,1.280391,1.264657
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,71,1777,1777,1980,1980,5,5,3,3,26,26,61.670685,0.184394,0.251161,0.263688,0.021051,0.022579,124,27,24,42,170,34,34,93,36560,68,68,23952,1.060455,0.019423,1.279591,1.477112
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,72,1777,1777,1980,1980,5,5,3,3,26,26,61.640195,0.183086,0.251112,0.264073,0.021123,0.022708,135,24,16,41,170,34,34,81,36560,68,68,23934,0.944076,0.019533,1.279114,1.265024
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,72,1777,1777,1980,1980,5,5,3,3,26,26,61.667000,0.186023,0.251027,0.263427,0.021082,0.022565,122,22,19,41,170,34,34,93,36560,68,68,23952,1.061194,0.019972,1.279766,1.478516
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,73,1778,1778,1980,1980,5,5,3,3,26,26,61.657798,0.182856,0.250779,0.263308,0.021036,0.022696,129,29,23,38,170,34,34,81,36580,68,68,23934,0.941319,0.020238,1.280098,1.262254
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,73,1777,1777,1980,1980,5,5,3,3,26,26,61.648520,0.184247,0.250909,0.263337,0.021061,0.022679,124,28,20,44,170,34,34,93,36570,68,68,23952,1.059854,0.020376,1.277740,1.471226
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,74,1777,1777,1980,1980,5,5,3,3,26,26,61.689779,0.184317,0.251037,0.264026,0.021049,0.022599,120,28,20,38,170,34,34,81,36560,68,68,23934,0.943865,0.020214,1.279387,1.262741
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,74,1777,1777,1980,1980,5,5,3,3,26,26,61.663608,0.183289,0.251157,0.264057,0.021102,0.022688,119,25,17,47,170,34,34,93,36560,68,68,23952,1.059950,0.019367,1.280226,1.474474
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,75,1778,1778,1980,1980,5,5,3,3,26,26,61.650488,0.183006,0.250787,0.263725,0.021043,0.022619,119,21,21,33,170,34,34,81,36580,68,68,23934,0.943537,0.020134,1.279848,1.260455
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,75,1777,1777,1980,1980,5,5,3,3,26,26,61.649980,0.181233,0.250897,0.263165,0.021037,0.022598,125,23,21,46,170,34,34,93,36570,68,68,23952,1.060320,0.019791,1.280377,1.478296
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,76,1777,1777,1980,1980,5,5,3,3,26,26,61.659861,0.182251,0.251057,0.263258,0.021068,0.022589,130,26,15,47,170,34,34,81,36560,68,68,23934,0.941985,0.020276,1.278426,1.262505
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,76,1777,1777,1980,1980,5,5,3,3,26,26,61.669595,0.185238,0.250956,0.263917,0.021102,0.022717,133,25,22,54,170,34,34,93,36567,68,68,23952,1.058344,0.020238,1.280380,1.476672
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,77,1777,1777,1980,1980,5,5,3,3,26,26,61.653030,0.183404,0.251336,0.264035,0.021141,0.022751,108,23,23,46,170,34,34,81,36560,68,68,23934,0.944733,0.020187,1.279834,1.262536
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,77,1777,1777,1980,1980,5,5,3,3,26,26,61.662236,0.184638,0.250994,0.263823,0.021095,0.022711,123,25,22,47,170,34,34,93,36560,68,68,23952,1.061959,0.019302,1.280992,1.474766
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,78,1777,1777,1980,1980,5,5,3,3,26,26,61.648782,0.184061,0.251333,0.263775,0.021057,0.022589,125,23,21,38,170,34,34,81,36560,68,68,23934,0.941895,0.020339,1.281037,1.261374
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,78,1777,1777,1980,1980,5,5,3,3,26,26,61.665988,0.184383,0.251316,0.264028,0.021078,0.022638,128,25,20,50,170,34,34,93,36560,68,68,23952,1.061469,0.020075,1.280660,1.474409
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,79,1777,1777,1980,1980,5,5,3,3,26,26,61.597870,0.179755,0.251055,0.263948,0.021068,0.022655,118,24,27,37,170,34,34,81,36560,68,68,23934,0.942447,0.020016,1.279407,1.264543
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,79,1777,1777,1980,1980,5,5,3,3,26,26,61.591585,0.180248,0.251389,0.263753,0.021056,0.022659,111,26,18,47,170,34,34,93,36560,68,68,23952,1.059843,0.019796,1.281259,1.476309
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,80,1777,1777,1980,1980,5,5,3,3,26,26,61.627996,0.181407,0.251223,0.263830,0.021027,0.022650,126,21,24,37,170,34,34,81,36560,68,68,23934,0.942296,0.019500,1.280150,1.260154
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,80,1778,1778,1980,1980,5,5,3,3,26,26,61.626589,0.185389,0.250821,0.262908,0.021068,0.022667,129,23,28,52,170,34,34,93,36580,68,68,23952,1.060783,0.020093,1.280373,1.475772
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,81,1777,1777,1980,1980,5,5,3,3,26,26,61.645233,0.184600,0.251022,0.263483,0.021037,0.022648,126,20,23,42,170,34,34,81,36560,68,68,23934,0.943312,0.019355,1.279758,1.266536
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,81,1777,1777,1980,1980,5,5,3,3,26,26,61.635976,0.180793,0.251258,0.264764,0.021087,0.022701,130,28,23,45,170,34,34,93,36560,68,68,23952,1.060569,0.019793,1.280991,1.476882
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,82,1778,1778,1980,1980,5,5,3,3,26,26,61.631293,0.182478,0.250758,0.263536,0.021078,0.022651,120,28,25,36,170,34,34,81,36580,68,68,23934,0.942106,0.020312,1.279542,1.266273
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,82,1777,1777,1980,1980,5,5,3,3,26,26,61.650747,0.180505,0.251160,0.264300,0.021041,0.022703,125,18,24,43,170,34,34,93,36560,68,68,23952,1.060011,0.019504,1.280840,1.476439
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,83,1778,1778,1980,1980,5,5,3,3,26,26,61.653199,0.181724,0.250728,0.263587,0.021094,0.022683,131,24,18,50,170,34,34,81,36580,68,68,23934,0.942154,0.019842,1.279750,1.262217
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,83,1778,1778,1980,1980,5,5,3,3,26,26,61.649688,0.183936,0.250701,0.263770,0.021071,0.022728,133,31,25,46,170,34,34,93,36580,68,68,23952,1.059971,0.019444,1.279696,1.475900
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,84,1777,1777,1980,1980,5,5,3,3,26,26,61.668793,0.182349,0.251037,0.264122,0.021093,0.022655,124,25,17,35,170,34,34,81,36560,68,68,23934,0.945436,0.020186,1.280021,1.260807
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,84,1777,1777,1980,1980,5,5,3,3,26,26,61.653646,0.183071,0.251229,0.263972,0.021095,0.022689,133,24,22,53,170,34,34,93,36560,68,68,23952,1.061362,0.020658,1.280270,1.477220
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,85,1777,1777,1980,1980,5,5,3,3,26,26,61.649772,0.185462,0.251006,0.263901,0.021068,0.022659,124,26,21,36,170,34,34,81,36560,68,68,23934,0.943276,0.019627,1.278591,1.263056
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,85,1777,1777,1980,1980,5,5,3,3,26,26,61.653898,0.183711,0.250980,0.263456,0.021091,0.022657,133,28,21,39,170,34,34,93,36566,68,68,23952,1.059820,0.019581,1.278944,1.477744
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,86,1777,1777,1980,1980,5,5,3,3,26,26,61.641664,0.181629,0.250868,0.263832,0.021093,0.022644,129,25,17,43,170,34,34,81,36578,68,68,23934,0.944621,0.019506,1.280277,1.263123
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,86,1777,1777,1980,1980,5,5,3,3,26,26,61.673532,0.184139,0.251067,0.264782,0.021065,0.022647,119,26,20,46,170,34,34,93,36560,68,68,23952,1.062451,0.019799,1.279939,1.475417
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,87,1777,1777,1980,1980,5,5,3,3,26,26,61.675672,0.184623,0.251016,0.263960,0.021061,0.022597,129,26,17,40,170,34,34,81,36560,68,68,23934,0.943647,0.019990,1.280552,1.265748
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,87,1777,1777,1980,1980,5,5,3,3,26,26,61.652501,0.185587,0.250907,0.263508,0.021033,0.022623,147,22,20,47,170,34,34,93,36570,68,68,23952,1.059251,0.020585,1.280679,1.476871
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,88,1777,1777,1980,1980,5,5,3,3,26,26,61.655034,0.181892,0.251195,0.263862,0.021096,0.022702,126,27,20,45,170,34,34,81,36560,68,68,23934,0.943893,0.019737,1.280165,1.264405
