scenario,mars_base_latency_s,global_timeout_s,blackout_duration_s,seed,global_pre_success,global_pre_total,global_during_success,global_during_total,global_post_success,global_post_total,global_during_rate,global_post_rate,first_success_after_blackout_s,avg_global_latency_s
with_repeater,186.0,120.0,300.0,53,5,5,3,3,26,26,1.000000,1.000000,61.637037,0.181103
blackout_only,186.0,120.0,300.0,54,5,5,3,3,26,26,1.000000,1.000000,61.667800,0.184611
with_repeater,186.0,120.0,300.0,54,5,5,3,3,26,26,1.000000,1.000000,61.656313,0.183365
blackout_only,186.0,120.0,300.0,55,5,5,3,3,26,26,1.000000,1.000000,61.662322,0.184156
with_repeater,186.0,120.0,300.0,55,5,5,3,3,26,26,1.000000,1.000000,61.647483,0.182251
blackout_only,186.0,120.0,300.0,56,5,5,3,3,26,26,1.000000,1.000000,61.638568,0.181329
with_repeater,186.0,120.0,300.0,56,5,5,3,3,26,26,1.000000,1.000000,61.669239,0.183918
blackout_only,186.0,120.0,300.0,57,5,5,3,3,26,26,1.000000,1.000000,61.606700,0.180696
with_repeater,186.0,120.0,300.0,57,5,5,3,3,26,26,1.000000,1.000000,61.645815,0.181981
blackout_only,186.0,120.0,300.0,58,5,5,3,3,26,26,1.000000,1.000000,61.645667,0.183261
with_repeater,186.0,120.0,300.0,58,5,5,3,3,26,26,1.000000,1.000000,61.631817,0.184701
blackout_only,186.0,120.0,300.0,59,5,5,3,3,26,26,1.000000,1.000000,61.630242,0.181886
with_repeater,186.0,120.0,300.0,59,5,5,3,3,26,26,1.000000,1.000000,61.610966,0.182189
blackout_only,186.0,120.0,300.0,60,5,5,3,3,26,26,1.000000,1.000000,61.687298,0.183680
with_repeater,186.0,120.0,300.0,60,5,5,3,3,26,26,1.000000,1.000000,61.640640,0.181036
blackout_only,186.0,120.0,300.0,61,5,5,3,3,26,26,1.000000,1.000000,61.683404,0.184990
with_repeater,186.0,120.0,300.0,61,5,5,3,3,26,26,1.000000,1.000000,61.712687,0.185168
blackout_only,186.0,120.0,300.0,62,5,5,3,3,26,26,1.000000,1.000000,61.638860,0.182258
with_repeater,186.0,120.0,300.0,62,5,5,3,3,26,26,1.000000,1.000000,61.616999,0.182532
blackout_only,186.0,120.0,300.0,63,5,5,3,3,26,26,1.000000,1.000000,61.680068,0.184151
with_repeater,186.0,120.0,300.0,63,5,5,3,3,26,26,1.000000,1.000000,61.652198,0.184664
blackout_only,186.0,120.0,300.0,64,5,5,3,3,26,26,1.000000,1.000000,61.684226,0.184655
with_repeater,186.0,120.0,300.0,64,5,5,3,3,26,26,1.000000,1.000000,61.667887,0.184199
blackout_only,186.0,120.0,300.0,65,5,5,3,3,26,26,1.000000,1.000000,61.662567,0.183800
with_repeater,186.0,120.0,300.0,65,5,5,3,3,26,26,1.000000,1.000000,61.663040,0.182112
blackout_only,186.0,120.0,300.0,66,5,5,3,3,26,26,1.000000,1.000000,61.655606,0.183576
with_repeater,186.0,120.0,300.0,66,5,5,3,3,26,26,1.000000,1.000000,61.638078,0.185524
blackout_only,186.0,120.0,300.0,67,5,5,3,3,26,26,1.000000,1.000000,61.636622,0.183820
with_repeater,186.0,120.0,300.0,67,5,5,3,3,26,26,1.000000,1.000000,61.614215,0.181519
blackout_only,186.0,120.0,300.0,68,5,5,3,3,26,26,1.000000,1.000000,61.657926,0.184090
with_repeater,186.0,120.0,300.0,68,5,5,3,3,26,26,1.000000,1.000000,61.635490,0.182021
blackout_only,186.0,120.0,300.0,69,5,5,3,3,26,26,1.000000,1.000000,61.670676,0.182767
with_repeater,186.0,120.0,300.0,69,5,5,3,3,26,26,1.000000,1.000000,61.672925,0.185301
blackout_only,186.0,120.0,300.0,70,5,5,3,3,26,26,1.000000,1.000000,61.694549,0.183118
with_repeater,186.0,120.0,300.0,70,5,5,3,3,26,26,1.000000,1.000000,61.680958,0.184116
blackout_only,186.0,120.0,300.0,71,5,5,3,3,26,26,1.000000,1.000000,61.677816,0.182040
